,corrente_anodica,corrente_catodica,carga,diff_corrente_anodica_catodica,diff_pot_anodico_catodico,pico_derivada_anodica,pico_derivada_catodica,target
0,151.316,-153.285,-39.32551450303737,304.601,0.23158800000000002,86.1066986975178,-88.14392373470795,0
1,144.157,-146.098,-40.55824313963467,290.255,0.23358430000000002,82.45806801474025,-83.56118053574784,0
2,145.832,-148.24,-42.82256571770387,294.072,0.2295918,84.42420069844135,-85.48762397166989,0
3,131.0460091,-133.9940548,-69.77897991226808,265.04006389999995,0.28748874999999996,66.7416984860128,-68.10909241862672,0
4,145.6397533,-151.1055112,-60.10860838624433,296.74526449999996,0.2255985,85.24223456475912,-88.7448988492029,0
5,144.2572594,-149.0638614,-48.29507153928978,293.3211208,0.24556369999999997,80.80699662760682,-83.6012552389897,0
6,143.0304527,-148.6335516,-59.28090554963029,291.6640043,0.24955659999999996,79.10791970062532,-81.90607286793227,0
7,141.9867039,-147.5898385,-62.90847363754341,289.5765424,0.2535496,77.72899496410774,-80.37734148955816,0
8,135.7610226,-139.9542212,-63.756515450472534,275.7152438,0.27351339999999996,71.7154520577239,-73.82599521648949,0
9,127.7500629,-130.5516124,-60.845295698192444,258.3016753,0.301464,63.908561812394346,-65.56202549909054,0
10,134.4060421,-139.0478373,-65.82441542823409,273.4538794,0.27351385,71.45668477034513,-74.13502199725424,0
11,126.5232086,-129.3247938,-71.1564645967718,255.8480024,0.2974711,63.963218060640656,-65.23233258698217,0
12,135.541296,-139.2675638,-56.34156930055519,274.8088598,0.27351385,71.18008911055881,-73.07638278123378,0
13,135.1201534,-138.937974,-52.48559044229688,274.0581274,0.2675244,72.18944256988864,-74.10364137326204,0
14,142.3438072,-147.9102731,-59.793684898904075,290.2540803,0.24556369999999997,79.68527290534038,-82.63625466589511,0
15,146.3813305,-152.6985526,-56.31755654372603,299.07988309999996,0.2236025,86.68641042665283,-90.11584765549118,0
16,134.6440792,-138.5442853,-59.293455210782156,273.18836450000003,0.27351339999999996,71.21509929146575,-73.64928161479355,0
17,140.3021336,-145.4932451,-68.04595593200332,285.7953787,0.2535487,77.35439094834764,-78.99567135684484,0
