,reg_logistic,knn,random_for,svm,deci_tree,MLP,gradient
0,0.8,1.0,1.0,1.0,0.8,1.0,0.8
1,0.8,1.0,1.0,1.0,1.0,1.0,1.0
2,0.8,1.0,1.0,1.0,1.0,1.0,1.0
3,0.8,0.8,1.0,1.0,1.0,1.0,1.0
4,0.8,1.0,1.0,1.0,1.0,1.0,1.0
