V;A4 ac+rod becker 30s;C3 ac+rod becker 30s;D2 ac+rod becker 30s;E5 ac+rod becker 30s
0,296473;11,7876;11,8975;10,753;11,6503
0,294476;10,9819;11,0826;9,89242;10,808
0,29248;10,0664;10,103;8,89448;9,81003
0,290483;9,05013;9,02266;7,77752;8,72969
0,288487;8,03387;7,94232;6,67887;7,62188
0,286491;6,99931;6,87114;5,58022;6,53239
0,284494;5,94644;5,77249;4,44495;5,40627
0,282498;4,72877;4,5182;0,974594;4,12451
0,280501;1,56786;1,19707;-0,0910964;0,84184
0,278505;0,476539;-0,00411994;-1,22637;-0,37583
0,276508;-0,428931;-0,971847;-2,37263;-1,37102
0,274512;-1,70153;-2,31586;-3,81094;-2,72969
0,272515;-3,09224;-3,75692;-5,32891;-4,19181
0,270519;-4,51682;-5,24468;-6,8954;-5,70336
0,268523;-6,12177;-6,93385;-8,62943;-7,40444
0,266526;-7,71298;-8,60288;-10,3635;-9,10002
0,26453;-9,35637;-10,3287;-12,1378;-10,8313
0,262533;-11,127;-12,1927;-14,0403;-12,7109
0,260537;-12,7924;-13,9313;-15,8338;-14,4633
0,25854;-14,8634;-16,114;-18,0696;-16,6606
0,256544;-16,7329;-18,0732;-20,1039;-18,6317
0,254547;-18,6793;-20,1067;-22,1749;-20,6706
0,252551;-20,7411;-22,2802;-24,4244;-22,8597
0,250554;-22,8487;-24,4665;-26,6802;-25,0753
0,248558;-25,1037;-26,8368;-29,1083;-27,4411
0,246562;-27,3339;-29,1659;-30,8217;-29,1646
0,244565;-28,954;-30,84;-33,0648;-31,3436
0,242569;-31,2612;-33,2753;-35,6466;-33,8521
0,240572;-33,5866;-35,7198;-38,1918;-36,3149
0,238576;-36,0586;-38,3291;-40,9018;-38,9425
0,236579;-38,5397;-40,9293;-43,5843;-41,5702
0,234583;-41,1948;-43,7034;-46,4683;-44,3626
0,232586;-43,8682;-46,5141;-49,3523;-47,1641
0,23059;-46,5599;-49,3248;-52,2728;-49,9931
0,228594;-49,2973;-52,1996;-55,2117;-52,8588
0,226597;-52,1721;-55,23;-58,3429;-55,8801
0,224601;-55,0744;-58,2696;-61,4832;-58,9197
0,222604;-58,0041;-61,3367;-64,6784;-62,0142
0,220608;-60,9705;-64,4495;-67,8828;-65,0904
0,218611;-64,0192;-67,6448;-71,1788;-68,2856
0,216615;-67,0405;-70,8217;-74,4564;-71,4534
0,214618;-70,19;-74,1451;-77,8622;-74,7494
0,212622;-73,2845;-77,3861;-81,2039;-77,9904
0,210625;-76,5805;-80,8194;-84,7471;-81,3779
0,208629;-79,7757;-84,1794;-88,217;-84,7196
0,206633;-82,9618;-87,512;-91,6594;-88,0522
0,204636;-86,3218;-91,046;-95,2941;-91,5404
0,20264;-89,6269;-94,5251;-98,883;-95,0103
0,200643;-93,0053;-98,0682;-102,536;-98,5077
0,198647;-96,3561;-101,575;-106,171;-102,005
0,19665;-99,5239;-104,898;-109,604;-105,292
0,194654;-103,113;-108,679;-113,458;-109,009
0,192657;-106,5;-112,259;-117,139;-112,534
0,190661;-109,906;-115,83;-120,829;-116,086
0,188665;-113,303;-119,382;-124,491;-119,602
0,186668;-116,626;-122,861;-128,08;-123,035
0,184672;-120,114;-126,551;-131,897;-126,679
0,182675;-123,52;-130,158;-135,596;-130,213
0,180679;-126,88;-133,701;-139,24;-133,692
0,178682;-130,332;-137,308;-142,994;-137,272
0,176686;-133,527;-140,705;-146,445;-140,586
0,174689;-136,951;-144,294;-150,153;-144,12
0,172693;-140,247;-147,782;-153,742;-147,526
0,170696;-143,607;-151,344;-157,386;-151,005
0,1687;-146,848;-154,74;-160,929;-154,356
0,166704;-149,998;-158,064;-164,335;-157,606
0,164707;-153,138;-161,378;-167,713;-160,829
0,162711;-156,306;-164,765;-171,202;-164,115
0,160714;-159,446;-168,089;-174,635;-167,366
0,158718;-162,412;-171,238;-177,848;-170,433
0,156721;-165,241;-174,241;-180,906;-173,344
0,154725;-168,19;-177,372;-184,111;-176,356
0,152728;-170,982;-180,32;-187,141;-179,231
0,150732;-173,783;-183,305;-190,181;-182,087
0,148736;-176,301;-186,015;-192,946;-184,688
0,146739;-178,837;-188,725;-195,711;-187,306
0,144743;-181,309;-191,353;-198,366;-189,815
0,142746;-183,58;-193,797;-200,856;-192,113
0,14075;-185,878;-196,269;-203,365;-194,466
0,138753;-187,947;-198,485;-205,599;-196,553
0,136757;-189,815;-200,508;-207,622;-198,43
0,13476;-191,664;-202,495;-209,645;-200,307
0,132764;-193,193;-204,17;-211,302;-201,817
0,130767;-194,868;-206,02;-213,143;-203,52
0,128771;-196,159;-207,439;-214,571;-204,811
0,126775;-197,276;-208,721;-215,77;-205,928
0,124778;-198,238;-209,828;-216,832;-206,871
0,122782;-199,025;-210,726;-217,647;-207,622
0,120785;-199,684;-211,476;-218,343;-208,235
0,118789;-200,06;-211,925;-218,672;-208,51
0,116792;-200,142;-212,099;-218,718;-208,501
0,114796;-200,179;-212,227;-218,682;-208,446
0,112799;-199,794;-211,907;-218,196;-207,97
0,110803;-199,309;-211,467;-217,574;-207,384
0,108807;-198,485;-210,707;-216,603;-206,459
0,10681;-197,505;-209,746;-215,431;-205,37
0,104814;-196,269;-208,501;-213,93;-204,015
0,102817;-194,813;-206,999;-212,163;-202,412
0,100821;-193,056;-205,223;-210,048;-200,499
0,0988243;-191,188;-203,301;-207,778;-198,521
0,0968278;-189,155;-201,112;-205,287;-196,297
0,0948314;-186,94;-198,769;-202,531;-193,962
0,0928349;-184,55;-196,278;-199,556;-191,426
0,0908385;-182,106;-193,669;-196,461;-188,899
0,088842;-179,597;-190,858;-193,193;-186,207
0,0868456;-177,162;-188,139;-189,952;-183,635
0,0848491;-174,589;-185,173;-186,546;-180,925
0,0828527;-172,328;-182,417;-183,305;-178,407
0,0808562;-169,911;-179,625;-179,954;-175,898
0,0788598;-167,567;-176,832;-176,86;-173,39
0,0768633;-165,553;-174,278;-174,232;-171,238
0,0748669;-163,694;-171,87;-171,824;-169,114
0,0728704;-161,854;-169,535;-169,545;-167,082
0,070874;-160,069;-167,384;-167,42;-165,177
0,0688775;-158,329;-165,15;-165,251;-163,209
0,0668811;-157,038;-163,31;-163,474;-161,744
0,0648846;-155,683;-161,451;-161,607;-160,288
0,0628882;-154,511;-159,776;-159,913;-159,776
0,0608917;-153,376;-158,183;-158,338;-159,666
0,0588953;-152,259;-156,672;-156,69;-159,556
0,0568988;-151,463;-155,399;-155,326;-159,739
0,0549024;-150,648;-154,081;-153,88;-159,767
0,0529059;-149,732;-152,79;-152,479;-159,648
0,0509095;-149,082;-151,582;-151,051;-159,4
0,048913;-148,167;-150,346;-149,311;-158,869
0,0469166;-147,434;-149,448;-147,654;-158,531
0,0449201;-146,574;-149,43;-146,024;-158,073
0,0429237;-145,704;-149,567;-144,55;-157,578
0,0409272;-144,779;-149,348;-143,049;-156,965
0,0389308;-143,928;-148,954;-141,483;-156,168
0,0369343;-143,058;-148,505;-140,092;-155,619
0,0349379;-142,179;-147,947;-138,938;-154,932
0,0329414;-141,263;-146,876;-137,702;-154,228
0,030945;-140,641;-145,64;-136,402;-153,33
0,0289485;-140,229;-144,788;-135,065;-152,268
0,0269521;-139,432;-144,102;-133,729;-151,298
0,0249556;-138,608;-143,113;-132,41;-150,217
0,0229592;-138,096;-142,49;-131;-149,265
0,0209627;-137,281;-141,474;-129,554;-148,048
0,0189663;-136,667;-140,458;-128,07;-146,821
0,0169698;-135,999;-139,597;-126,523;-145,585
0,0149734;-135,578;-138,508;-125,223;-144,157
0,0129769;-134,965;-137,354;-123,832;-142,838
0,0109805;-136,21;-135,898;-122,312;-141,401
0,00898402;-138,755;-134,369;-121,012;-139,899
0,00698757;-139,67;-132,959;-119,483;-138,379
0,00499112;-139,606;-131,54;-117,807;-136,823
0,00299467;-139,377;-130,359;-116,452;-135,45
0,000998224;-138,654;-129,023;-115,216;-133,875
-0,000998226;-137,006;-127,796;-113,733;-132,401
-0,00299468;-134,809;-126,596;-112,168;-130,799
-0,00499113;-132,767;-125,351;-110,684;-129,151
-0,00698758;-130,707;-124,179;-109,503;-127,741
-0,00898403;-128,721;-122,907;-107,883;-126,285
-0,0109805;-126,688;-121,497;-106,235;-124,573
-0,0129769;-125,461;-120,362;-104,926;-123,218
-0,0149734;-123,621;-119,034;-103,598;-121,707
-0,0169698;-122,193;-117,734;-102,17;-120,224
-0,0189663;-120,325;-116,416;-100,558;-118,604
-0,0209627;-118,338;-115,033;-99,0936;-116,855
-0,0229592;-116,361;-113,916;-97,7569;-115,171
-0,0249556;-114,337;-112,451;-96,3378;-113,541
-0,0269521;-112,461;-111,115;-94,8547;-111,939
-0,0289485;-111,572;-109,778;-93,5729;-110,455
-0,030945;-109,787;-108,469;-92,3735;-108,927
-0,0329414;-107,846;-107,086;-91,1559;-107,544
-0,0349379;-105,978;-105,869;-89,8924;-106,079
-0,0369343;-104,385;-104,559;-88,5924;-104,523
-0,0389308;-102,545;-103,287;-87,2099;-103,003
-0,0409272;-101,007;-102,17;-85,9648;-101,575
-0,0429237;-99,6887;-101,108;-84,6555;-100,11
-0,0449201;-98,1964;-99,9542;-83,6027;-98,7732
-0,0469166;-96,585;-98,6999;-82,6871;-97,2442
-0,048913;-95,0103;-97,4273;-81,5885;-95,7702
-0,0509095;-93,7285;-96,1273;-80,4257;-94,4976
-0,0529059;-92,4102;-95,0469;-79,382;-93,2891
-0,0549024;-91,1192;-93,875;-78,3841;-92,0897
-0,0568988;-89,7459;-92,8679;-77,322;-90,8171
-0,0588953;-88,3452;-91,5587;-76,3607;-89,5262
-0,0608917;-87,4022;-90,6615;-75,555;-88,4001
-0,0628882;-86,2669;-89,7002;-74,8043;-87,1824
-0,0648846;-84,9302;-88,6015;-74,1726;-85,9831
-0,0668811;-83,7766;-87,6677;-73,2937;-84,9668
-0,0688775;-82,6688;-86,6606;-72,4971;-83,8132
-0,070874;-81,6068;-85,919;-71,9112;-82,9526
-0,0728704;-80,6546;-84,9393;-71,0964;-81,9638
-0,0748669;-79,5834;-83,8682;-70,309;-80,9018
-0,0768633;-78,6404;-83,1449;-69,6223;-80,1144
-0,0788598;-77,5875;-81,9821;-68,8624;-79,2264
-0,0808562;-76,7544;-81,2772;-68,1849;-78,4482
-0,0828527;-75,8022;-80,4532;-67,6539;-77,5418
-0,0848491;-75,0607;-79,6201;-67,1962;-76,8093
-0,0868456;-74,1268;-78,9517;-66,5461;-76,1318
-0,088842;-73,431;-78,1643;-65,8778;-75,3353
-0,0908385;-72,5978;-77,4594;-65,2735;-74,612
-0,0928349;-71,9844;-76,7453;-64,7425;-74,081
-0,0948314;-71,2886;-76,0311;-64,2298;-73,3303
-0,0968278;-70,6935;-75,1797;-63,8911;-72,6436
-0,0988243;-69,8787;-74,5205;-63,3783;-71,9112
-0,100821;-69,1554;-74,0078;-62,8199;-71,2703
-0,102817;-68,6427;-73,3486;-62,3529;-70,7668
-0,104814;-68,0293;-72,726;-61,9776;-70,1625
-0,10681;-67,4708;-72,3049;-61,5106;-69,5491
-0,108807;-66,8574;-71,6915;-61,3001;-69,0272
-0,110803;-66,3813;-71,1147;-60,7874;-68,4688
-0,112799;-65,7496;-70,5562;-60,3571;-67,892
-0,114796;-65,4017;-70,0893;-60,2014;-67,4617
-0,116792;-64,8798;-69,5674;-59,7986;-66,9215
-0,118789;-64,3397;-69,0364;-59,588;-66,4546
-0,120785;-63,9734;-68,5145;-59,3683;-66,0334
-0,122782;-63,4333;-68,0659;-59,3042;-65,5848
-0,124778;-62,9938;-67,6173;-59,0478;-65,2186
-0,126775;-62,4994;-67,1778;-58,7549;-64,7517
-0,128771;-62,06;-66,7475;-58,2696;-64,2939
-0,130767;-61,6114;-66,2531;-57,8393;-63,9643
-0,132764;-61,2634;-65,8961;-57,4731;-63,6805
-0,13476;-60,8698;-65,5665;-57,1618;-63,2868
-0,136757;-60,4578;-65,1453;-56,7956;-62,9114
-0,138753;-60,1923;-64,6967;-56,4752;-62,472
-0,14075;-59,7711;-64,4129;-56,1639;-62,1332
-0,142746;-59,3866;-64,0375;-55,8709;-61,7578
-0,144743;-59,0936;-63,7171;-55,5688;-61,4008
-0,146739;-58,7182;-63,2959;-55,2483;-61,117
-0,148736;-58,3703;-63,0121;-55,0103;-60,8331
-0,150732;-58,0682;-62,6917;-54,6807;-60,5035
-0,148736;-54,0856;-58,4619;-51,0185;-56,4294
-0,146739;-52,8222;-57,0703;-49,9107;-55,0469
-0,144743;-51,989;-56,2005;-49,1783;-54,2962
-0,142746;-51,2749;-55,4864;-48,7114;-53,5729
-0,14075;-50,6981;-54,8272;-48,217;-52,9503
-0,138753;-50,0755;-54,1955;-47,6951;-52,2911
-0,136757;-49,5628;-53,6278;-47,2374;-51,8517
-0,13476;-49,0227;-53,1609;-46,7613;-51,284
-0,132764;-48,5374;-52,5841;-46,2852;-50,7256
-0,130767;-48,043;-52,0623;-45,9922;-50,3044
-0,128771;-47,5944;-51,5953;-45,5619;-49,8833
-0,126775;-47,2282;-51,1101;-45,2049;-49,4347
-0,124778;-46,862;-50,6523;-44,8386;-48,9952
-0,122782;-46,3676;-50,1396;-44,445;-48,5191
-0,120785;-46,0105;-49,7459;-44,152;-48,1804
-0,118789;-45,5802;-49,3248;-43,7949;-47,7317
-0,116792;-45,2232;-48,8853;-43,4653;-47,4022
-0,114796;-44,8386;-48,4825;-43,1174;-47,0634
-0,112799;-44,4358;-48,0247;-42,8244;-46,6423
-0,110803;-44,1245;-47,6768;-42,5223;-46,3035
-0,108807;-43,7858;-47,2831;-42,211;-45,9648
-0,10681;-43,4379;-46,8711;-41,8997;-45,5894
-0,104814;-43,1449;-46,5415;-41,6434;-45,3056
-0,102817;-42,7604;-46,1845;-41,3596;-44,8844
-0,100821;-42,4308;-45,8091;-41,0758;-44,5548
-0,0988243;-42,1286;-45,4063;-40,7736;-44,1978
-0,0968278;-41,8265;-45,095;-40,5539;-43,9048
-0,0948314;-41,4969;-44,7562;-40,2701;-43,566
-0,0928349;-41,149;-44,3809;-39,968;-43,209
-0,0908385;-40,8103;-44,0238;-39,7024;-42,8519
-0,088842;-40,5447;-43,7217;-39,4919;-42,5589
-0,0868456;-40,2426;-43,4012;-39,2996;-42,2477
-0,0848491;-39,9222;-43,035;-39,0249;-41,8906
-0,0828527;-39,6017;-42,7237;-38,7411;-41,5885
-0,0808562;-39,2996;-42,3941;-38,4939;-41,2863
-0,0788598;-38,9792;-42,0371;-38,2467;-40,9751
-0,0768633;-38,7228;-41,7533;-38,0545;-40,7279
-0,0748669;-38,3841;-41,3596;-37,7798;-40,3799
-0,0728704;-38,1003;-41,0575;-37,5143;-40,0504
-0,070874;-37,7707;-40,7004;-37,2396;-39,7116
-0,0688775;-37,4411;-40,3067;-36,9375;-39,3545
-0,0668811;-37,1939;-40,032;-36,7178;-39,0799
-0,0648846;-36,91;-39,6933;-36,4431;-38,732
-0,0628882;-36,5713;-39,3179;-36,1593;-38,4115
-0,0608917;-36,2509;-38,97;-35,8938;-38,1186
-0,0588953;-35,8663;-38,5855;-35,5642;-37,7157
-0,0568988;-35,6558;-38,3383;-35,491;-37,4868
-0,0549024;-35,2804;-37,9263;-35,1614;-37,1115
-0,0529059;-34,9325;-37,5051;-34,8409;-36,7361
-0,0509095;-34,5846;-37,1023;-34,5205;-36,3973
-0,048913;-34,2275;-36,7178;-34,2092;-36,0494
-0,0469166;-33,9162;-36,3699;-33,9712;-35,7748
-0,0449201;-33,5592;-35,967;-33,6599;-35,3811
