Potencial (V),Paciente J (1),Paciente J (2),Paciente J (3),Paciente K (1),Paciente K (2),Paciente K (3),Paciente L (1),Paciente L (2),Paciente L (3),Paciente M (1),Paciente M (2),Paciente M (3),Paciente N (1),Paciente N (2),Paciente N (3),Paciente O (1),Paciente O (2),Paciente O (3),Paciente P (1),Paciente P (2),Paciente P (3),Paciente Q (1),Paciente Q (2),Paciente Q (3),Paciente R (1),Paciente R (2),Paciente S (1),Paciente S (2),Paciente S (3)
"0,714073181152344","125,82380771637","126,161313056946","125,611305236816","129,767608642578","128,830099105835","133,742666244507","130,286359786987","146,380352973938","132,142639160156","139,486503601074","137,58647441864","144,867849349976","131,69264793396","131,180119514465","138,642740249634","129,898858070374","139,623999595642","143,33655834198","149,024152755737","95,8295822143555","134,998941421509","141,611528396606","148,155379295349","147,892880439758","167,096376419067","152,255463600159","134,355187416077","138,673996925354","139,749002456665"
"0,716073513031006","126,230049133301","126,705050468445","126,173806190491","130,305123329163","129,367613792419","134,148931503296","130,842614173889","147,117877006531","132,6176404953","140,061521530151","138,055229187012","145,39909362793","132,123899459839","131,69264793396","139,148998260498","130,32386302948","140,080261230469","144,049072265625","149,892926216126","96,0983514785767","135,623955726624","142,03028678894","148,674154281616","148,33664894104","167,346239089966","152,817964553833","134,811425209045","139,267754554749","140,31777381897"
"0,71807336807251","126,761317253113","127,142572402954","126,736307144165","130,842614173889","129,905104637146","134,723925590515","131,523895263672","147,811627388001","133,26141834259","140,636515617371","138,617753982544","146,142864227295","132,623910903931","132,361388206482","139,636516571045","130,786371231079","140,692782402039","144,755339622498","150,692939758301","96,4608430862427","136,236453056335","142,649054527283","149,199151992798","148,955392837524","167,97137260437","153,461718559265","135,32395362854","140,030264854431","141,005277633667"
"0,720073699951172","127,217578887939","127,705073356628","127,261328697205","131,373882293701","130,405116081238","135,148930549622","132,086396217346","148,555397987366","133,773922920227","141,136527061462","139,198994636536","146,686625480652","133,167672157288","132,817649841309","140,149021148682","131,186389923096","141,21778011322","145,37410736084","151,567935943604","96,7483520507813","136,89272403717","143,111562728882","149,674153327942","149,461650848389","169,2214012146","154,011726379395","135,792708396912","140,655279159546","141,624045372009"
"0,722073554992676","127,667570114136","128,255081176758","127,773833274841","131,917643547058","130,967617034912","135,673952102661","132,630157470703","149,299168586731","134,292674064636","141,705298423767","139,755272865295","147,430372238159","133,611416816711","133,417654037476","140,724015235901","131,680130958557","141,805291175842","146,117854118347","152,467966079712","97,0546007156372","137,636470794678","143,605327606201","150,192928314209","149,955415725708","169,846296310425","154,599237442017","136,311459541321","141,280293464661","142,299056053162"
"0,72407341003418","128,192591667175","128,792595863342","128,386330604553","132,455158233643","131,486392021179","136,198949813843","133,348917961121","150,067925453186","134,867691993713","142,280292510986","140,361523628235","148,130393028259","134,086418151855","134,005165100098","141,361546516418","132,092642784119","142,286539077759","146,811628341675","153,324222564697","97,4296092987061","138,336491584778","144,06156539917","150,761675834656","150,580430030823","170,033931732178","155,105495452881","136,811470985413","142,017793655396","142,949056625366"
"0,726073741912842","128,723835945129","129,323840141296","129,005098342896","133,036398887634","131,986403465271","136,7427110672","133,911418914795","150,830435752869","135,542702674866","143,005299568176","140,942788124084","148,830389976501","134,698939323425","134,692692756653","141,967797279358","132,6176404953","142,949056625366","147,561621665955","154,286742210388","97,7608680725098","139,005255699158","144,599080085754","151,280426979065","151,167941093445","170,783758163452","155,780506134033","137,455224990845","142,711567878723","143,542814254761"
"0,728073596954346","129,267597198486","129,867601394653","129,605102539063","133,605170249939","132,59265422821","137,330222129822","134,586429595947","151,580452919006","136,092710494995","143,611574172974","141,561532020569","149,499154090881","135,173940658569","135,242700576782","142,536544799805","133,073902130127","143,561577796936","148,2741355896","155,149245262146","98,085880279541","139,73650932312","145,149087905884","151,861691474915","151,692938804626","171,721458435059","155,971050262451","137,961483001709","143,417811393738","144,224071502686"
"0,73007345199585","129,780101776123","130,467629432678","130,255126953125","134,217667579651","133,192658424377","137,905240058899","135,2614402771","152,486705780029","136,755204200745","144,211578369141","142,199039459229","150,292921066284","135,723948478699","135,923957824707","143,130302429199","133,605170249939","144,149088859558","148,99914264679","156,130504608154","98,4858751296997","140,43653011322","145,730352401733","152,430462837219","152,292943000793","172,596454620361","156,471014022827","138,517737388611","144,142818450928","144,992852210999"
"0,732073783874512","130,29887676239","131,042623519897","130,898880958557","134,748935699463","133,792662620544","138,39898109436","135,936450958252","153,267979621887","137,398982048035","144,836592674255","142,824053764343","150,986671447754","136,273956298828","136,511468887329","143,742823600769","134,123921394348","144,780349731445","149,855422973633","156,846046447754","98,8608837127686","141,211533546448","146,261620521545","152,961707115173","152,899217605591","173,283815383911","157,221078872681","139,005255699158","144,830346107483","145,680356025696"
"0,734073638916016","130,886363983154","131,617641448975","131,567645072937","135,43643951416","134,405183792114","138,986492156982","136,623954772949","154,11171913147","138,055229187012","145,511603355408","143,505311012268","151,811695098877","136,823964118958","137,211465835571","144,361591339111","134,642672538757","145,474100112915","150,592923164368","157,971143722534","99,2421388626099","142,017793655396","146,842861175537","153,524231910706","153,424215316772","174,096345901489","158,033609390259","139,655256271362","145,630359649658","146,430373191834"
