Potencial (V),Negativo,"0,6 ng. mL-1","1,0 ng. mL-1","1,2 ng. mL-1","2,0 ng. mL-1","2,5 ng. mL-1","4,0 ng. mL-1","5,0 ng. mL-1","10,0 ng. mL-1","20,0 ng. mL-1"
"-0,410117","-32,0174","-35,1055","-32,6842","-33,0145","-38,2207","-35,0028","-32,911","-39,6572","-41,2897","-43,8909"
"-0,408121","-31,6833","-34,7256","-32,3666","-32,6582","-37,8909","-34,6774","-32,5708","-39,3095","-40,935","-43,4784"
"-0,406124","-31,3826","-34,4052","-32,1089","-32,3873","-37,5609","-34,3693","-32,2821","-38,9594","-40,5997","-43,0965"
"-0,404127","-31,0375","-34,0489","-31,8161","-32,0347","-37,1939","-33,9907","-31,9831","-38,5561","-40,1836","-42,651"
"-0,402131","-30,8123","-33,8361","-31,5584","-31,7971","-36,9299","-33,7259","-31,7728","-38,2529","-39,8677","-42,2876"
"-0,400135","-30,5339","-33,5478","-31,2634","-31,4891","-36,6227","-33,4154","-31,5274","-37,9164","-39,5168","-41,9128"
"-0,398138","-30,2147","-33,1791","-30,95","-31,1464","-36,3072","-33,1086","-31,1913","-37,5824","-39,1831","-41,5236"
"-0,396142","-29,9487","-32,8896","-30,7274","-30,9064","-36,0082","-32,8302","-30,9315","-37,2681","-38,8829","-41,1834"
"-0,394145","-29,6518","-32,5889","-30,4841","-30,6045","-35,6886","-32,506","-30,6841","-36,9204","-38,5268","-40,805"
"-0,392149","-29,413","-32,3638","-30,2159","-30,357","-35,4288","-32,2351","-30,4593","-36,6111","-38,2036","-40,4498"
"-0,390152","-29,1804","-32,125","-29,9582","-30,0984","-35,1545","-31,9703","-30,251","-36,3228","-37,9009","-40,1266"
"-0,388156","-28,8501","-31,7365","-29,6345","-29,7285","-34,8266","-31,6461","-29,9066","-35,9764","-37,5519","-39,7271"
"-0,38616","-28,6472","-31,5224","-29,4695","-29,5639","-34,5978","-31,4396","-29,7087","-35,7389","-37,3292","-39,4699"
"-0,384163","-28,3589","-31,2305","-29,2406","-29,2781","-34,2947","-31,1278","-29,4654","-35,4061","-36,9912","-39,1162"
"-0,382167","-28,1424","-31,0201","-28,9973","-29,0505","-34,0534","-30,8741","-29,2653","-35,1277","-36,6953","-38,7868"
"-0,38017","-27,9246","-30,7962","-28,7478","-28,8018","-33,7895","-30,6205","-29,0674","-34,8469","-36,4017","-38,4791"
"-0,378174","-27,645","-30,4696","-28,4756","-28,4962","-33,5214","-30,3557","-28,7787","-34,5611","-36,1169","-38,1528"
"-0,376177","-27,4223","-30,2259","-28,288","-28,2982","-33,276","-30,1318","-28,5519","-34,3074","-35,8799","-37,879"
"-0,374181","-27,1674","-29,9648","-28,09","-28,0459","-32,9997","-29,846","-28,3374","-34,0093","-35,5733","-37,564"
"-0,372184","-26,9596","-29,7656","-27,857","-27,8318","-32,7791","-29,6122","-28,1519","-33,7495","-35,2943","-37,2542"
"-0,370188","-26,7851","-29,6011","-27,6508","-27,6364","-32,5605","-29,4056","-27,9972","-33,5156","-35,0559","-37,0036"
"-0,368191","-26,5179","-29,2757","-27,3848","-27,3345","-32,2966","-29,1371","-27,7106","-33,236","-34,7768","-36,6902"
"-0,366195","-26,3001","-29,0344","-27,1972","-27,1415","-32,0615","-28,9218","-27,4899","-32,991","-34,5497","-36,4284"
"-0,364199","-26,0478","-28,7734","-27,0054","-26,8953","-31,7872","-28,6459","-27,2796","-32,7003","-34,2545","-36,1242"
"-0,362202","-25,887","-28,6236","-26,8178","-26,7233","-31,612","-28,4566","-27,1332","-32,485","-34,0278","-35,8726"
"-0,360206","-25,6989","-28,443","-26,5951","-26,5155","-31,381","-28,2327","-26,9662","-32,2425","-33,7769","-35,6092"
"-0,358209","-25,4663","-28,1647","-26,3661","-26,2519","-31,1583","-28,0063","-26,7229","-32,0025","-33,5377","-35,3401"
"-0,356213","-25,2312","-27,8974","-26,1579","-26,0379","-30,9068","-27,7712","-26,4734","-31,7451","-33,2915","-35,0653"
"-0,354217","-25,0246","-27,6895","-26,0135","-25,8436","-30,6758","-27,5436","-26,3105","-31,5039","-33,0515","-34,8189"
"-0,35222","-24,8675","-27,5374","-25,8362","-25,6853","-30,5129","-27,3617","-26,1682","-31,296","-32,8374","-34,5746"
"-0,350223","-24,6955","-27,3703","-25,6218","-25,4898","-30,2943","-27,1514","-26,0156","-31,0647","-32,5999","-34,3277"
"-0,348227","-24,4641","-27,0982","-25,397","-25,2201","-30,0695","-26,9262","-25,7764","-30,8333","-32,3626","-34,0678"
"-0,34623","-24,2749","-26,8792","-25,232","-25,0518","-29,8736","-26,7344","-25,5661","-30,6243","-32,1681","-33,8451"
"-0,344234","-24,0484","-26,6478","-25,065","-24,8316","-29,6283","-26,4857","-25,3846","-30,3607","-31,9139","-33,5751"
"-0,342238","-23,9136","-26,513","-24,9124","-24,7005","-29,484","-26,3361","-25,265","-30,1826","-31,7252","-33,3657"
"-0,340241","-23,7255","-26,3373","-24,6897","-24,4914","-29,2427","-26,1084","-25,1001","-29,9301","-31,4716","-33,1054"
"-0,338245","-23,5572","-26,127","-24,5165","-24,2884","-29,0818","-25,9389","-24,9207","-29,7607","-31,2979","-32,9095"
"-0,336248","-23,358","-25,8956","-24,3433","-24,1103","-28,8777","-25,7484","-24,7021","-29,5491","-31,1047","-32,6847"
"-0,334252","-23,1304","-25,6543","-24,1763","-23,8839","-28,6241","-25,4923","-24,5145","-29,2818","-30,8434","-32,4177"
"-0,332256","-23,0116","-25,5442","-24,0526","-23,7738","-28,5086","-25,3611","-24,4175","-29,1222","-30,6824","-32,2311"
"-0,330259","-22,8644","-25,4118","-23,8546","-23,6092","-28,3168","-25,1743","-24,2897","-28,9144","-30,4723","-32,013"
"-0,328263","-22,6764","-25,1842","-23,6691","-23,3766","-28,123","-24,9838","-24,0958","-28,7152","-30,2743","-31,7945"
"-0,326266","-22,4982","-24,964","-23,5123","-23,2207","-27,9457","-24,8143","-23,8917","-28,5284","-30,1073","-31,5934"
"-0,324269","-22,2594","-24,7203","-23,3308","-22,9894","-27,6961","-24,5507","-23,6958","-28,2562","-29,8426","-31,3259"
"-0,322273","-22,1629","-24,6324","-23,236","-22,9003","-27,5951","-24,4418","-23,6174","-28,1189","-29,7062","-31,163"
"-0,320277","-22,0132","-24,4914","-23,0359","-22,7295","-27,3993","-24,2514","-23,4834","-27,9024","-29,4889","-30,9444"
"-0,31828","-21,8424","-24,2822","-22,8669","-22,5205","-27,2301","-24,0732","-23,3102","-27,723","-29,3124","-30,7454"
"-0,316284","-21,6581","-24,0583","-22,704","-22,3497","-27,0507","-23,8987","-23,0978","-27,5324","-29,1402","-30,5428"
"-0,314287","-21,4602","-23,8517","-22,5638","-22,1629","-26,8259","-23,6809","-22,9349","-27,2961","-28,9157","-30,3155"
"-0,312291","-21,3439","-23,7317","-22,4442","-22,0453","-26,7064","-23,5449","-22,8339","-27,1328","-28,7569","-30,1355"
"-0,310294","-21,2189","-23,6203","-22,2792","-21,913","-26,5455","-23,3853","-22,7308","-26,9484","-28,5705","-29,9474"
"-0,308298","-21,0222","-23,3927","-22,073","-21,6755","-26,3434","-23,1774","-22,537","-26,7381","-28,362","-29,7242"
