Potencial (V),Negativo,"0,6 ng. mL-1","1,0 ng. mL-1","1,2 ng. mL-1","2,0 ng. mL-1","2,5 ng. mL-1","4,0 ng. mL-1","5,0 ng. mL-1","10,0 ng. mL-1","20,0 ng. mL-1"
"0,242722","68,21588","79,45095","84,15676","79,64405","90,84372","85,30081","98,84439","102,9531","111,7724","118,7647"
"0,244719","67,98324","79,06135","84,18736","79,29014","90,86034","84,97419","99,24054","102,6773","111,996","118,7837"
"0,246715","67,78155","78,72959","84,18128","78,98595","90,80878","84,62257","99,62385","102,3508","112,1255","118,7384"
"0,248711","67,57378","78,46365","84,08872","78,62851","90,72209","84,22054","99,97432","102,018","112,1793","118,6089"
"0,250708","67,46362","78,22851","84,06777","78,39946","90,67905","83,93108","100,3351","101,7543","112,3159","118,5672"
"0,252705","67,20635","77,85865","83,89709","77,96392","90,49122","83,50054","100,4818","101,3127","112,2193","118,3301"
"0,254701","67,01818","77,53108","83,77297","77,62851","90,32615","83,15041","100,6405","100,9353","112,1639","118,0888"
"0,256698","66,82526","77,21054","83,5998","77,30568","90,0748","82,76797","100,7414","100,4762","111,989","117,757"
"0,258694","66,66319","76,98649","83,38128","76,98514","89,82926","82,37203","100,8468","100,0036","111,7716","117,398"
"0,26069","66,55685","76,76365","83,1998","76,75135","89,6002","82,05419","100,9126","99,60405","111,603","117,0858"
"0,262687","66,37861","76,49405","82,96872","76,40257","89,3198","81,68676","100,861","99,13878","111,299","116,6635"
"0,264683","66,20414","76,18973","82,74615","76,07973","89,03736","81,34635","100,7684","98,69473","110,9932","116,2128"
"0,26668","66,08045","75,93486","82,52953","75,83716","88,71777","81,03838","100,6716","98,23824","110,6401","115,7428"
"0,268676","65,91961","75,73324","82,22858","75,51554","88,35899","80,64635","100,525","97,71108","110,1877","115,1541"
"0,270672","65,8317","75,56243","82,01014","75,32","88,0723","80,35797","100,3971","97,29311","109,8314","114,6499"
"0,272669","65,70684","75,35473","81,77905","75,04027","87,76736","80,05743","100,1867","96,85122","109,3968","114,0611"
"0,274665","65,57562","75,11216","81,55831","74,78541","87,47027","79,78635","99,93939","96,43676","108,9688","113,4431"
"0,276662","65,42845","74,84","81,28831","74,53689","87,08899","79,46351","99,64865","95,95176","108,4427","112,7388"
"0,278659","65,31953","74,70743","81,01622","74,29568","86,76507","79,14919","99,39912","95,47419","107,9153","112,0594"
"0,280655","65,24776","74,57041","80,80182","74,1323","86,4723","78,89919","99,15385","95,07216","107,4683","111,4502"
"0,282651","65,16855","74,41811","80,61399","73,92176","86,20223","78,66162","98,87115","94,6773","106,9914","110,8167"
"0,284648","65,02638","74,17297","80,37074","73,65108","85,88851","78,38838","98,50831","94,25068","106,4583","110,1061"
"0,286644","64,91124","73,94554","80,14392","73,45419","85,54236","78,12838","98,16196","93,8027","105,9091","109,3736"
"0,288641","64,83451","73,84905","79,91081","73,265","85,25561","77,86608","97,85899","93,36351","105,3668","108,6633"
"0,290637","64,77762","73,73514","79,71912","73,12392","84,97953","77,64838","97,55993","92,98973","104,8911","108,0266"
"0,292633","64,69845","73,58405","79,53764","72,93095","84,70318","77,42324","97,21757","92,60649","104,3781","107,3545"
"0,29463","64,61434","73,41709","79,3725","72,73054","84,45155","77,23392","96,8752","92,26135","103,898","106,6766"
"0,296626","64,46958","73,1673","79,13358","72,51757","84,11709","76,96649","96,46486","91,81446","103,3232","105,9209"
"0,298623","64,42257","73,1202","78,96642","72,38405","83,89682","76,77122","96,19682","91,44716","102,8261","105,2672"
"0,300619","64,33595","72,99155","78,76419","72,23189","83,63264","76,53743","95,87297","91,0573","102,3276","104,6135"
"0,302616","64,27411","72,87642","78,61804","72,08338","83,41845","76,35784","95,54932","90,72081","101,8655","103,9898"
"0,304612","64,20605","72,74399","78,48196","71,91635","83,23291","76,20216","95,23804","90,40905","101,4218","103,3659"
"0,306609","64,08974","72,52507","78,29412","71,75176","82,93986","75,98554","94,87905","90,02689","100,8986","102,6768"
"0,308605","64,02665","72,45581","78,12318","71,60595","82,71534","75,78514","94,59885","89,65459","100,3969","102,0355"
"0,310602","63,95859","72,36804","77,95203","71,48351","82,48649","75,58959","94,31216","89,31392","99,94919","101,4405"
"0,312598","63,90293","72,26284","77,82209","71,35095","82,29459","75,4277","94,01534","89,00365","99,50919","100,8607"
"0,314594","63,85282","72,17865","77,74169","71,22986","82,16872","75,32878","93,75135","88,755","99,12703","100,3183"
"0,316591","63,74488","71,95892","77,5252","71,02919","81,86149","75,09122","93,36959","88,35405","98,6","99,63628"
"0,318587","63,69259","71,88547","77,3725","70,91547","81,66372","74,91527","93,11824","88,01378","98,1448","99,05068"
"0,320584","63,65424","71,82743","77,23223","70,83372","81,47791","74,75703","92,87703","87,71311","97,74743","98,52419"
"0,32258","63,59858","71,73081","77,12095","70,71865","81,29865","74,61473","92,61507","87,42986","97,33872","97,9948"
"0,324577","63,53177","71,62682","77,01149","70,57777","81,14818","74,48865","92,32635","87,17135","96,95534","97,46845"
"0,326573","63,44703","71,4402","76,86128","70,43412","80,90696","74,31784","92,00696","86,8423","96,5275","96,88142"
"0,32857","63,37341","71,38919","76,71486","70,31784","80,72142","74,15459","91,76351","86,51689","96,08777","96,33649"
"0,330566","63,35114","71,3402","76,59932","70,26115","80,56034","74,02203","91,55318","86,25324","95,72176","95,87189"
"0,332563","63,28308","71,24696","76,46101","70,12858","80,36642","73,85392","91,2725","85,96014","95,31155","95,35655"
"0,334559","63,2237","71,15534","76,35993","69,99135","80,23243","73,74514","91,02095","85,72257","94,95608","94,86986"
"0,336555","63,14328","70,98486","76,23426","69,88236","80,01804","73,60905","90,74507","85,43297","94,56764","94,34655"
"0,338552","63,11482","70,95264","76,11061","69,79209","79,85115","73,4677","90,53466","85,13622","94,17081","93,85736"
"0,340548","63,07027","70,89811","75,96419","69,70196","79,66757","73,30581","90,30764","84,85027","93,80405","93,39561"
"0,342545","63,04555","70,82655","75,85676","69,61149","79,51101","73,18932","90,08061","84,60905","93,45878","92,96311"
"0,344541","62,98864","70,73372","75,75588","69,47669","79,3748","73,07568","89,82926","84,37527","93,10622","92,50838"
"0,346538","62,94532","70,60486","75,6775","69,41101","79,21169","72,98905","89,60047","84,14878","92,77554","92,06507"
"0,348534","62,8748","70,54811","75,52703","69,29736","79,02007","72,82446","89,36736","83,83703","92,37345","91,58196"
"0,35053","62,82159","70,49088","75,38872","69,21169","78,84885","72,67243","89,15899","83,56595","92,02345","91,15777"
"0,352527","62,80923","70,44527","75,30453","69,15257","78,70655","72,57081","88,94439","83,35189","91,72135","90,77054"
"0,354524","62,7585","70,37358","75,21169","69,02365","78,58899","72,48068","88,72007","83,14054","91,38568","90,36142"
"0,35652","62,69664","70,23372","75,09209","68,92236","78,3973","72,35811","88,46216","82,88689","91,04392","89,91899"
"0,358516","62,67561","70,18912","74,98872","68,85926","78,24682","72,24419","88,28493","82,63568","90,69899","89,51074"
"0,360513","62,62364","70,14973","74,84236","68,77149","78,06939","72,09338","88,07858","82,36838","90,36345","89,11074"
"0,362509","62,62859","70,12493","74,78872","68,74791","77,96622","72,02284","87,90743","82,1877","90,09723","88,7823"
"0,364506","62,53827","70,005","74,64865","68,57953","77,80764","71,88419","87,63939","81,93905","89,74676","88,35946"
"0,366502","62,49126","69,86885","74,56216","68,50784","77,64459","71,79892","87,425","81,73365","89,44236","87,96986"
"0,368499","62,4962","69,86372","74,4775","68,47203","77,51284","71,71351","87,26196","81,51203","89,13365","87,61264"
"0,370495","62,43807","69,82919","74,32905","68,37912","77,34345","71,56014","87,06601","81,25257","88,80649","87,23932"
"0,372491","62,41331","69,7748","74,2525","68,33473","77,21169","71,46608","86,88243","81,05554","88,52966","86,91142"
"0,374488","62,33786","69,67959","74,13108","68,18372","77,07162","71,34486","86,63919","80,83054","88,20831","86,53345"
"0,376484","62,28589","69,54473","74,02818","68,10574","76,89615","71,26446","86,40831","80,6227","87,91493","86,16966"
"0,378481","62,31341","69,58291","73,99074","68,12797","76,82209","71,23365","86,29885","80,46824","87,66628","85,88358"
"0,380478","62,25495","69,5","73,78669","67,99318","76,61169","71,02811","86,06419","80,16257","87,29824","85,47953"
"0,382474","62,24135","69,46541","73,72682","67,96473","76,49845","70,95635","85,89912","79,99432","87,0573","85,19797"
"0,38447","62,18319","69,38865","73,62568","67,83351","76,37858","70,85743","85,67412","79,7927","86,75946","84,85939"
"0,386467","62,14238","69,26264","73,53311","67,77169","76,22412","70,78554","85,46622","79,61311","86,4927","84,53189"
"0,388463","62,15227","69,24527","73,45676","67,74831","76,10831","70,71622","85,31757","79,41878","86,21615","84,22209"
"0,39046","62,1238","69,21932","73,31236","67,6727","75,95588","70,57405","85,1277","79,1777","85,91297","83,89628"
"0,392456","62,10401","69,17595","73,23196","67,64432","75,83426","70,49608","84,95858","79,00568","85,67264","83,63182"
"0,394452","62,07059","69,12649","73,15155","67,54285","75,73736","70,42784","84,76284","78,84351","85,4148","83,33851"
"0,396449","62,02918","69,02135","73,01331","67,44007","75,54574","70,31297","84,51939","78,62351","85,11372","82,9848"
"0,398445","62,02482","68,97311","72,97007","67,44753","75,46304","70,27716","84,39797","78,47122","84,88554","82,72554"
"0,400442","61,97907","68,95824","72,8277","67,37345","75,31264","70,14716","84,22047","78,24216","84,59959","82,42858"
"0,402438","61,98153","68,9273","72,74527","67,36095","75,19101","70,07669","84,06574","78,08649","84,37574","82,18946"
"0,404435","61,92464","68,83811","72,63176","67,22608","75,06507","69,9727","83,84101","77,89338","84,08628","81,87966"
"0,406431","61,87512","68,71939","72,54932","67,16304","74,92703","69,90838","83,64101","77,73135","83,83608","81,59047"
"0,408428","61,88501","68,69574","72,47953","67,15923","74,81534","69,85007","83,49459","77,56797","83,59561","81,32392"
"0,410424","61,88503","68,72176","72,38851","67,13828","74,71034","69,77486","83,36486","77,39608","83,36426","81,08777"
"0,412421","61,85532","68,6575","72,28966","67,0913","74,56804","69,67338","83,18108","77,21311","83,12291","80,83676"
"0,414417","61,7913","68,58331","72,16601","66,95636","74,43628","69,56196","82,95223","77,02365","82,84034","80,54595"
"0,416413","61,75759","68,47804","72,09595","66,90065","74,30858","69,51115","82,76486","76,88757","82,62338","80,28142"
"0,41841","61,78358","68,46095","72,0525","66,91307","74,20926","69,47784","82,63493","76,74905","82,405","80,0475"
"0,420406","61,7712","68,48804","71,92655","66,86238","74,08155","69,37014","82,47412","76,55338","82,14804","79,79696"
"0,422403","61,77368","68,46588","71,86689","66,85401","73,97838","69,31824","82,33986","76,4273","81,96115","79,60953"
"0,424399","61,72172","68,38662","71,74527","66,76041","73,84439","69,20439","82,11304","76,24041","81,68696","79,32635"
"0,426396","61,70316","68,3223","71,70385","66,7152","73,75561","69,20203","81,95655","76,14649","81,51554","79,11804"
"0,428392","61,67965","68,26223","71,60696","66,67186","73,61554","69,11284","81,77926","75,96703","81,2548","78,84993"
"0,430388","61,68088","68,28777","71,51439","66,64835","73,50628","69,03615","81,64709","75,80622","81,03439","78,64068"
"0,432385","61,70934","68,31108","71,47723","66,65785","73,42182","69,00392","81,53764","75,70351","80,8825","78,48669"
"0,434382","61,65986","68,22703","71,35358","66,54688","73,29372","68,90135","81,31304","75,53014","80,61865","78,22514"
"0,436378","61,60172","68,12304","71,275","66,48505","73,17209","68,85311","81,12547","75,40784","80,42135","77,9927"
"0,438374","61,60912","68,08351","71,22547","66,47849","73,06892","68,81588","80,98939","75,28662","80,21757","77,78595"
"0,440371","61,61192","68,10709","71,11419","66,45522","72,94953","68,72439","80,84912","75,11338","79,99115","77,57203"
"0,442367","61,63912","68,15405","71,10203","66,47192","72,9","68,72568","80,7748","75,05014","79,88135","77,46486"
"0,444364","61,55842","68,03527","70,95338","66,38911","72,74324","68,63872","80,52953","74,85365","79,60514","77,19419"
"0,44636","61,53736","67,95973","70,8998","66,31919","72,64642","68,56473","80,36669","74,76581","79,43899","77,005"
"0,448357","61,54231","67,91899","70,84209","66,32658","72,53493","68,52892","80,23041","74,65054","79,24777","76,80811"
"0,450353","61,55097","67,96486","70,75135","66,31424","72,44007","68,46703","80,11081","74,50838","79,05223","76,62973"
"0,452349","61,55593","67,96338","70,69169","66,31204","72,34953","68,41878","79,99142","74,40068","78,9025","76,49095"
"0,454346","61,51262","67,90399","70,59865","66,22893","72,24034","68,33223","79,7975","74,26581","78,69155","76,28473"
"0,456342","61,47797","67,82601","70,52872","66,16707","72,13493","68,30372","79,63243","74,16946","78,52216","76,09351"
"0,458339","61,48942","67,80507","70,50405","66,19145","72,05453","68,27169","79,5252","74,09892","78,37588","75,94196"
"0,460335","61,49685","67,80014","70,36993","66,14845","71,93088","68,19723","79,36845","73,92324","78,14378","75,74405"
"0,462332","61,49114","67,82622","70,33088","66,18814","71,8525","68,17014","79,26554","73,83919","78,02534","75,63527"
"0,464328","61,47797","67,7927","70,26047","66,11759","71,7698","68,13797","79,11284","73,73649","77,85446","75,46986"
"0,466325","61,46065","67,74203","70,20905","66,07674","71,68311","68,10459","78,96034","73,66959","77,71405","75,31378"
"0,468321","61,45385","67,68135","70,13466","66,05689","71,55561","68,05622","78,80561","73,55554","77,53128","75,12757"
"0,470318","61,44211","67,68453","70,04615","66,05566","71,47297","67,99919","78,69439","73,43324","77,35669","74,98932"
"0,472314","61,45447","67,69257","69,9927","66,07184","71,38243","67,95115","78,58716","73,33419","77,23392","74,87635"
"0,47431","61,44488","67,68007","69,94926","66,02469","71,33088","67,92385","78,46331","73,26878","77,09824","74,75791"
"0,476307","61,39136","67,57615","69,85223","65,93316","71,20493","67,86574","78,27365","73,15973","76,92088","74,57534"
"0,478303","61,39632","67,51676","69,80892","65,953","71,10405","67,85216","78,15","73,08797","76,78189","74,43716"
"0,4803","61,41705","67,54768","69,72047","65,93814","71,02365","67,80027","78,04277","72,96932","76,62851","74,30932"
"0,482296","61,41488","67,55723","69,67689","65,96197","70,94709","67,76919","77,95385","72,8877","76,52642","74,22899"
"0,484293","61,40653","67,54149","69,61101","65,91335","70,86466","67,71122","77,80561","72,80473","76,37318","74,10169"
"0,486289","61,38273","67,49573","69,56142","65,87253","70,79885","67,69696","77,67365","72,75649","76,25365","73,98703"
"0,488286","61,3518","67,4482","69,49345","65,84782","70,67095","67,68115","77,52723","72,65865","76,09932","73,83473"
"0,490282","61,36631","67,4572","69,4523","65,84223","70,63601","67,66041","77,45926","72,59068","75,99074","73,76446"
"0,492279","61,36508","67,44936","69,36041","65,8478","70,49372","67,58331","77,31264","72,45095","75,82818","73,62845"
"0,494275","61,34808","67,42038","69,29561","65,81685","70,43399","67,52172","77,19304","72,3927","75,71277","73,53926"
"0,496271","61,34558","67,3882","69,26264","65,79218","70,38446","67,53781","77,08196","72,36797","75,62419","73,45838"
"0,498268","61,34654","67,29782","69,20676","65,78095","70,27905","67,51446","76,95608","72,29122","75,49953","73,33554"
"0,500264","61,3357","67,32377","69,12845","65,76872","70,19865","67,46364","76,85088","72,19351","75,35459","73,23615"
"0,502261","61,32085","67,32631","69,05209","65,77734","70,1","67,40555","76,74777","72,09581","75,24358","73,16277"
"0,504257","61,30849","67,30396","69,00872","65,75693","70,03581","67,38786","76,62412","72,03392","75,13507","73,08453"
"0,506254","61,33354","67,32142","68,9898","65,7077","70,03378","67,38039","76,56014","72,05365","75,10311","73,06439"
"0,50825","61,30726","67,21893","68,90804","65,67709","69,86669","67,33865","76,37858","71,93","74,93074","72,90101"
"0,510246","61,30231","67,21996","68,85628","65,70553","69,81507","67,31895","76,30628","71,85932","74,82412","72,84318"
"0,512243","61,27757","67,20857","68,78426","65,70801","69,71216","67,25457","76,20338","71,76297","74,71351","72,78054"
"0,51424","61,27384","67,19014","68,73885","65,66722","69,65453","67,21991","76,09818","71,71351","74,62243","72,72736"
"0,516236","61,2825","67,18034","68,72041","65,65107","69,62547","67,22707","76,00338","71,70973","74,56399","72,6873"
"0,518232","61,27415","67,10799","68,65426","65,61684","69,4998","67,20747","75,86507","71,62811","74,44","72,58554"
"0,520229","61,24785","67,08132","68,57986","65,61647","69,42953","67,16793","75,7723","71,54284","74,3173","72,52534"
"0,522225","61,24022","67,06209","68,53047","65,64374","69,35743","67,13443","75,70223","71,47473","74,24764","72,51541"
"0,524222","61,2132","67,04434","68,45635","65,58188","69,26872","67,05531","75,57432","71,39297","74,13014","72,44622"
"0,526218","61,22807","67,02936","68,44601","65,5645","69,24818","67,09366","75,49007","71,39554","74,08392","72,43196"
"0,528215","61,21322","66,96853","68,39851","65,55704","69,14709","67,08258","75,37858","71,34608","73,99878","72,37162"
"0,530211","61,23301","66,97376","68,34899","65,53081","69,09324","67,06273","75,30405","71,28162","73,90372","72,35311"
"0,532207","61,17116","66,94338","68,25851","65,52368","68,96149","66,95262","75,17432","71,15419","73,77054","72,29365"
"0,534204","61,16869","66,90303","68,19838","65,50758","68,90993","66,9217","75,08784","71,10973","73,70318","72,27338"
"0,5362","61,17488","66,88468","68,16764","65,47301","68,88108","66,9427","74,99912","71,09865","73,6523","72,26378"
"0,538197","61,17332","66,8447","68,15723","65,50384","68,81709","66,96754","74,925","71,095","73,61061","72,25554"
"0,540193","61,16003","66,80174","68,06878","65,47478","68,72655","66,91362","74,81149","70,98973","73,48068","72,20709"
"0,54219","61,11796","66,78688","67,97385","65,447","68,61507","66,81903","74,70628","70,88095","73,37601","72,18128"
"0,544186","61,12661","66,7733","67,95101","65,43351","68,5698","66,80174","74,6302","70,85351","73,32716","72,19635"
"0,546183","61,12536","66,75095","67,92426","65,39873","68,54074","66,79889","74,54142","70,84257","73,27709","72,20615"
"0,548179","61,10309","66,68166","67,88926","65,39257","68,44392","66,80669","74,44236","70,80405","73,21493","72,18703"
"0,550176","61,13031","66,68178","67,85412","65,37243","68,40257","66,77936","74,38466","70,76338","73,14426","72,19818"
"0,552172","61,0793","66,66126","67,75324","65,3603","68,27682","66,70582","74,2527","70,6273","73,01588","72,16912"
"0,554168","61,08331","66,63834","67,72635","65,37096","68,25","66,68051","74,20115","70,61851","72,99311","72,22264"
"0,556165","61,04372","66,57285","67,65628","65,31639","68,18419","66,65703","74,0752","70,56811","72,91115","72,21277"
"0,558161","61,02762","66,485","67,62541","65,29108","68,09547","66,6595","73,99074","70,53932","72,85736","72,21426"
"0,560158","61,05857","66,50726","67,60257","65,27649","68,06243","66,65201","73,94122","70,50959","72,80703","72,25351"
"0,562154","61,00291","66,49773","67,4913","65,27384","67,94703","66,58001","73,8198","70,40236","72,68777","72,26601"
"0,564151","60,99669","66,44415","67,46045","65,26008","67,87899","66,51592","73,74324","70,33662","72,63899","72,29953"
"0,566147","60,98557","66,40701","67,41128","65,20199","67,84595","66,50847","73,64439","70,31541","72,58412","72,33446"
"0,568144","60,95959","66,32045","67,38189","65,19082","67,75318","66,50604","73,54953","70,28453","72,53074","72,35155"
"0,57014","61,01772","66,36128","67,34856","65,19574","67,74899","66,53828","73,52277","70,28568","72,50885","72,43385"
"0,572137","60,92866","66,30134","67,24991","65,14632","67,57574","66,41764","73,35764","70,15676","72,35304","72,42405"
"0,574133","60,92246","66,25604","67,20671","65,15495","67,53655","66,35881","73,29797","70,08155","72,31682","72,48703"
"0,576129","60,91627","66,22884","67,1738","65,09805","67,50378","66,35757","73,21149","70,06554","72,26892","72,55203"
"0,578126","60,91288","66,14846","67,15108","65,08442","67,42329","66,37","73,11872","70,05061","72,23176","72,60919"
"0,580122","60,91999","66,13615","67,11392","65,08976","67,3737","66,35264","73,05676","70,01372","72,1723","72,68243"
"0,582119","60,86677","66,10265","67,00257","65,06472","67,2625","66,26357","72,94547","69,8923","72,06311","72,73088"
"0,584115","60,86184","66,07549","66,98392","65,06104","67,20455","66,23389","72,86912","69,85507","72,03189","72,82993"
"0,586112","60,86062","66,04949","66,96331","65,02384","67,19223","66,2308","72,79257","69,85635","72,00615","72,94122"
"0,588108","60,85319","65,99104","66,89336","64,96819","67,0768","66,2215","72,66689","69,80703","71,94459","72,98547"
"0,590105","60,8405","65,94062","66,88495","65,00153","67,04586","66,21177","72,61939","69,79574","71,89865","73,10466"
"0,592101","60,81482","65,94031","66,7882","64,97066","66,94484","66,15462","72,50811","69,7048","71,80797","73,19027"
"0,594098","60,81484","65,90846","66,75924","64,98177","66,89122","66,125","72,44845","69,65223","71,78453","73,32777"
"0,596094","60,78515","65,86269","66,70966","64,9038","66,83966","66,104","72,32655","69,62628","71,72845","73,43304"
"0,59809","60,76657","65,78103","66,68081","64,88528","66,76338","66,11754","72,23399","69,61014","71,69811","73,54034"
"0,600087","60,78762","65,74762","66,65205","64,92205","66,70978","66,12469","72,16169","69,59054","71,65054","73,68095"
"0,602083","60,79751","65,75411","66,59831","64,92981","66,6541","66,08786","72,09777","69,53736","71,61169","73,84595"
"0,60408","60,75823","65,72535","66,54484","64,89519","66,56748","66,04915","71,9948","69,47047","71,56541","73,98561"
"0,606076","60,7505","65,69195","66,50554","64,83086","66,52829","66,00554","71,88736","69,45939","71,52149","74,14095"
"0,608073","60,74184","65,62266","66,48505","64,82965","66,46851","66,05566","71,80696","69,47162","71,5152","74,30466"
"0,610069","60,75668","65,5868","66,43603","64,83574","66,41076","66,04949","71,72682","69,44824","71,47297","74,4723"
"0,612065","60,73565","65,58555","66,37365","64,83461","66,32417","65,99872","71,62568","69,38973","71,42047","74,64439"
"0,614062","60,7505","65,58555","66,37576","64,85622","66,2891","65,99747","71,57209","69,37014","71,42541","74,87541"
"0,616059","60,74399","65,55215","66,3438","64,81884","66,24374","66,02199","71,4525","69,36885","71,39182","75,0475"
"0,618055","60,75915","65,52988","66,33644","64,80808","66,22106","66,03491","71,40088","69,38811","71,41264","75,28223"
"0,620051","60,72699","65,43831","66,27268","64,7913","66,11797","66,00489","71,28351","69,34912","71,34709","75,43365"
"0,622048","60,73316","65,47049","66,21894","64,82095","66,07054","65,99635","71,21128","69,31703","71,33236","75,66946"
"0,624044","60,76997","65,51504","66,24157","64,85245","66,0561","66,03226","71,17818","69,33926","71,3748","75,95176"
"0,626041","60,77616","65,4742","66,21441","64,82836","66,01486","66,03741","71,06068","69,36061","71,34824","76,15736"
"0,628037","60,76411","65,42472","66,19018","64,82593","65,96743","66,06435","70,98649","69,36784","71,36608","76,39101"
"0,630034","60,75296","65,35172","66,14897","64,82712","65,88703","66,0545","70,88115","69,34662","71,33223","76,58736"
"0,63203","60,77524","65,38264","66,09316","64,85431","65,83959","66,04828","70,79264","69,35459","71,32284","76,83791"
"0,634026","60,83122","65,45005","66,15295","64,91718","65,86847","66,12249","70,80703","69,38628","71,39405","77,17824"
"0,636023","60,80493","65,41109","66,08698","64,88159","65,80453","66,08289","70,67101","69,35912","71,37203","77,37932"
"0,638019","60,81607","65,37522","66,08701","64,894","65,76951","66,13923","70,59885","69,40358","71,40466","77,63338"
"0,640016","60,83709","65,33316","66,08088","64,92738","65,72412","66,18064","70,5202","69,42331","71,41757","77,8725"
"0,642012","60,88101","65,38759","66,04581","64,97564","65,69318","66,18564","70,45838","69,40851","71,415","78,13757"
"0,644009","60,91753","65,43307","66,0612","65,04177","65,68905","66,23014","70,42953","69,43622","71,48878","78,45061"
"0,646005","60,92123","65,43459","66,05196","65,02019","65,67255","66,23515","70,34101","69,46554","71,50372","78,69324"
"0,648002","60,93114","65,39872","66,04989","65,02257","65,6437","66,29695","70,26054","69,51378","71,53723","78,94081"
"0,649998","60,9633","65,37028","66,0582","65,06722","65,60865","66,34028","70,20068","69,54959","71,56932","79,18081"
"0,651995","60,99669","65,39626","66,03124","65,10984","65,56122","66,32416","70,11419","69,51858","71,57878","79,41649"
"0,653991","61,04619","65,47545","66,05196","65,2057","65,57978","66,39342","70,11203","69,57047","71,64486","79,72743"
"0,655987","61,07218","65,50266","66,05191","65,18708","65,58597","66,41331","70,04196","69,61027","71,67331","79,96034"
"0,657984","61,10434","65,49151","66,06851","65,20826","65,5777","66,49373","69,98426","69,68297","71,73554","80,19905"
"0,65998","61,12538","65,44823","66,06018","65,23046","65,55039","66,51596","69,90993","69,69432","71,74581","80,39041"
"0,661977","61,16866","65,51873","66,03333","65,29235","65,51791","66,53569","69,85838","69,69189","71,75507","80,6177"
"0,663973","61,22681","65,61122","66,06117","65,38765","65,52203","66,58024","69,84419","69,73264","71,825","80,8677"
"0,665969","61,29486","65,65853","66,0952","65,41232","65,56944","66,63715","69,82122","69,80682","71,8923","81,10081"
"0,667966","61,31343","65,6375","66,10363","65,40365","65,54264","66,68909","69,75331","69,84892","71,92014","81,26824"
"0,669963","61,34188","65,60781","66,10766","65,44326","65,50759","66,73007","69,69155","69,87743","71,93264","81,40986"
"0,671959","61,40004","65,69068","66,09739","65,51755","65,51171","66,75718","69,65014","69,89365","71,94534","81,58486"
"0,673956","61,48665","65,79838","66,14676","65,62891","65,53853","66,82409","69,66676","69,94784","72,02345","81,79446"
"0,675952","61,53612","65,84162","66,17372","65,63757","65,56534","66,85249","69,62358","69,99757","72,05743","81,93635"
"0,677948","61,59058","65,86766","66,19628","65,6697","65,5777","66,94527","69,59243","70,07649","72,10216","82,05953"
"0,679945","61,62149","65,86726","66,1964","65,69435","65,56739","66,96878","69,5327","70,10014","72,10216","82,12365"
"0,681941","61,72049","65,96042","66,21079","65,80453","65,5777","67,02807","69,53459","70,14716","72,12797","82,24149"
"0,683938","61,76131","66,02716","66,22723","65,87999","65,57153","67,05411","69,51216","70,16446","72,15466","82,32047"
"0,685934","61,84049","66,10265","66,27259","65,91345","65,61897","67,10969","69,4998","70,235","72,20439","82,38676"
"0,687931","61,92091","66,15964","66,31588","65,96416","65,65399","67,21877","69,49547","70,33527","72,25135","82,44351"
"0,689927","61,94935","66,13232","66,31174","65,98765","65,61894","67,25332","69,43392","70,35986","72,23459","82,40453"
"0,691923","62,03473","66,23391","66,31799","66,08042","65,64162","67,29786","69,42338","70,38959","72,22946","82,41432"
"0,69392","62,11389","66,35262","66,35714","66,19926","65,66637","67,35349","69,42432","70,44297","72,2775","82,42493"
"0,695917","62,19928","66,43301","66,40259","66,24","65,70966","67,40919","69,43162","70,51351","72,32689","82,38804"
"0,697913","62,30816","66,53207","66,47252","66,32412","65,78184","67,55145","69,45831","70,63946","72,37446","82,3652"
"0,699909","62,33043","66,49739","66,46637","66,34151","65,74061","67,57743","69,42493","70,66297","72,3527","82,21743"
"0,701906","62,4393","66,61981","66,48711","66,46399","65,78804","67,64682","69,40689","70,72378","72,36047","82,14466"
"0,703902","62,5185","66,74234","66,52","66,57527","65,80865","67,70986","69,42128","70,76568","72,39304","82,06115"
"0,705899","62,62612","66,85857","66,59214","66,64711","65,88495","67,78919","69,44189","70,86351","72,44446","81,96527"
"0,707895","62,72757","66,94532","66,65203","66,7127","65,94475","67,92014","69,45635","70,98486","72,4952","81,84453"
"0,709892","62,78943","66,96493","66,67275","66,77574","65,93653","67,99324","69,43784","71,04176","72,50412","81,66318"
"0,711888","62,89459","67,085","66,68905","66,88836","65,9736","68,05257","69,44405","71,09743","72,52176","81,51169"
"0,713884","63,02574","67,26072","66,76541","67,06276","66,04579","68,1677","69,48108","71,19378","72,58642","81,41568"
"0,715881","63,10369","67,33985","66,80473","67,10112","66,0891","68,21473","69,49561","71,25703","72,61196","81,24291"
"0,717877","63,22122","67,45005","66,87056","67,18905","66,16331","68,36074","69,51723","71,39311","72,67149","81,1027"
"0,719874","63,31154","67,49708","66,92209","67,29041","66,17775","68,46709","69,53459","71,48703","72,71007","80,91851"
"0,72187","63,44143","67,64169","66,96338","67,42403","66,24581","68,55851","69,56365","71,57243","72,73966","80,7775"
"0,723867","63,53546","67,7852","67,00468","67,55761","66,28086","68,63041","69,58284","71,62203","72,77628","80,64081"
"0,725863","63,65796","67,92142","67,08099","67,65912","66,36333","68,72932","69,63568","71,73338","72,84412","80,51108"
"0,72786","63,77426","68,02655","67,13039","67,72973","66,42522","68,85189","69,64405","71,84973","72,89682","80,36412"
