,Potencial (V),Paciente J (1),Paciente J (2),Paciente J (3),Paciente K (1),Paciente K (2),Paciente K (3),Paciente L (1),Paciente L (2),Paciente L (3),Paciente M (1),Paciente M (2),Paciente M (3),Paciente N (1),Paciente N (2),Paciente N (3),Paciente O (1),Paciente O (2),Paciente O (3),Paciente P (1),Paciente P (2),Paciente P (3),Paciente Q (1),Paciente Q (2),Paciente Q (3),Paciente R (1),Paciente R (2),Paciente S (1),Paciente S (2),Paciente S (3)
1136,0.228065967559814,-155.47146910949652,-133.27055504523236,-156.88137829349301,-163.95996482540332,-150.85279584124513,-171.3361276328393,-138.54462499970305,-173.44006887659285,-181.86697373519056,-131.64120100753067,-118.91661337289233,-109.46179242480454,-122.57802764024012,-131.3331330238956,-179.84662145657177,-162.0167674581445,-175.1873436452413,-152.5252279067339,-186.33513014578784,-188.7901105951725,-160.14327990527107,-152.05716678159126,-129.29820433040578,-126.16742721000084,-192.87689847206988,-207.46934666113583,-155.3446110557513,-99.38394539886573,-105.26346818718233
1137,0.226066112518311,-164.34072686744068,-140.19889384001632,-165.84110221777516,-173.74140022664704,-159.46500960007253,-180.97182343104296,-146.11834024599074,-183.0245266663111,-192.61552792207723,-138.83596871432817,-124.94075191770106,-114.77634012376942,-130.10166649459123,-138.07113435397872,-190.48989351066808,-171.59654825040874,-185.07952272196317,-161.44373307082049,-197.233440393974,-198.2396538148995,-168.67871857386652,-160.600293269396,-136.45437840763176,-133.78669554112543,-203.4809944654182,-217.3412085440612,-164.02808747245476,-104.3028794812914,-111.22081497850007
1138,0.224065780639648,-174.03455847822113,-147.55520151612384,-174.97634327073982,-183.88187411192933,-168.39262246724905,-190.80155442557844,-153.86514472305498,-192.89912132697114,-204.12729049451826,-146.2590647414124,-131.42909770294128,-120.43805376983927,-138.21711019658866,-145.6128995201786,-201.63436431325033,-181.39391423648425,-196.03072877796149,-171.08467950556448,-208.47497164352453,-208.27477425697657,-177.49529059442122,-169.41514863700377,-143.78263406271307,-141.67971767438067,-213.87015856215635,-227.70061552721327,-173.3856474471957,-109.45659063276118,-117.39042815968638
1139,0.222065925598145,-184.3151240747576,-155.40499578951503,-184.16390697271484,-194.29337516132267,-177.5935299560569,-200.95880426001358,-161.81097347379364,-203.19011393361762,-216.22226214815467,-153.96561364023475,-138.35903570033076,-126.53276209331229,-146.66730547135035,-153.89316573252654,-213.03280025715807,-191.26295756167946,-207.8692969113044,-181.3099609151097,-220.00041847522962,-219.03434547624684,-186.5126243368562,-178.48521897832754,-151.30038040753254,-149.53379190701605,-223.86464546357846,-238.63259673784788,-183.3891064139868,-114.85161551929312,-123.5900728859063
1140,0.220065593719482,-194.95044308634232,-163.84933985949857,-193.3974691385151,-204.98240147643145,-187.12875975093766,-211.66425241903283,-170.0933301584918,-214.1318101255039,-228.66136880009083,-162.09893713499963,-145.75171577108864,-133.17909951910616,-155.2681580470531,-162.77910474952668,-224.50924557265094,-201.19167267324866,-220.22205568125068,-191.96990130408872,-231.83607168921725,-230.6800188224787,-195.74921677485165,-187.87817287746137,-159.05638344044198,-157.02732257036715,-233.57646420543742,-250.2350831162641,-193.9752494282605,-120.54058728432416,-129.77912185202987
1141,0.218065738677979,-205.80088016423656,-172.98741007580006,-202.80546234816202,-216.03979521107107,-197.16117648605317,-223.10923285275902,-178.93248189132777,-225.97575033275058,-241.213201315521,-170.82264488378567,-153.67381615908576,-140.4778022645189,-163.98235989500594,-172.12511373441922,-236.03583629270358,-211.31942197929237,-232.66926323457236,-202.95607511972324,-244.05963355075554,-243.3336716160575,-205.34248186880936,-197.6859459125287,-167.1074709772852,-163.9915054194859,-243.4161508404325,-262.5727313078119,-205.0584328959081,-126.62943106020785,-136.07808151232774
1142,0.216065883636475,-216.85547860606025,-182.87020079836054,-212.62492108839513,-227.57849160978287,-207.88533977190224,-235.34843417263264,-188.5622049231225,-238.89158522298152,-253.7442878703186,-180.24711848122269,-162.2017631719965,-148.44589220386598,-172.92594467471557,-181.82118760614645,-247.7586637412698,-221.90031155014586,-244.93976718470677,-214.2571928929438,-256.7615533685493,-257.00204744492476,-215.5074445347076,-207.95763285889635,-175.4974770803959,-170.55237473444336,-253.97163009806602,-275.6267858792033,-216.5322331955915,-133.25545070117207,-142.70863131009165
1143,0.214065551757812,-228.207934055681,-193.4675716827584,-223.13612833267518,-239.65062934556218,-219.4165391694731,-248.26103181184206,-199.14225097486448,-252.90084698809514,-266.292983765445,-190.39404894712888,-171.3738390813105,-156.9736134634581,-182.31303954794342,-191.82021322775236,-259.9577271289384,-233.21993213367247,-257.0582353198211,-225.99465621801147,-270.02309697221256,-271.536539717321,-226.43782572618795,-218.67066899197553,-184.2518474491543,-177.17261882273706,-265.8116910502282,-289.26928319490077,-228.27446510927163,-140.5366131003439,-149.8851698061573
1144,0.212065696716309,-239.99062628163298,-204.66143796870196,-234.57977886218092,-252.1984200166412,-231.6998777154535,-261.5999771805991,-210.68425391758944,-267.8686508623932,-279.08088024271984,-201.2193263332878,-181.1605420530118,-165.84353970283183,-192.37094014831425,-202.1439410657051,-272.961372681273,-245.48828014606195,-269.3755961486036,-238.410082289542,-283.91622533877546,-286.65899227596344,-238.18983207481475,-229.76135299589527,-193.39713981447375,-184.5515475386049,-279.29988681419974,-303.28257530697226,-240.17439025686548,-148.50882888657094,-157.71335700740954
1145,0.210065841674805,-252.30551279788048,-216.2686608681356,-247.08423616130568,-265.0810534335804,-244.50089602757356,-275.10145407165635,-223.02395330454726,-283.55494645820517,-292.44167800474463,-212.67697887159127,-191.46970696471297,-174.82342201660728,-203.26275405799512,-212.87640659293353,-287.0513568012886,-258.74716697286067,-282.46333627544294,-251.792053789455,-298.51407104366575,-302.04976542243793,-250.6153296347641,-241.19786198689505,-202.99548228930658,-193.40499862108982,-294.4894566659797,-317.42639749982726,-252.18473039577225,-157.07975695405037,-166.1458054043185
