,Potencial (V),Paciente A (1),Paciente A (2),Paciente A (3),Paciente B (1),Paciente B (2),Paciente B (3),Paciente C (1),Paciente C (2),Paciente C (3),Paciente D (1),Paciente D (2),Paciente E (1),Paciente E(2),Paciente E (3),Paciente F (1),Paciente F (2),Paciente F (3),Paciente G (1),Paciente G (2),Paciente G (3),Paciente H (1),Paciente H (2),Paciente H (3),Paciente I (1),Paciente I (2),Paciente I (3)
92,-0.316283733,-18.40696335,-19.26755905,-17.06111431,-21.1902,-16.7224,-16.8139,-15.97161293,-14.17715549,-13.37149143,-16.0265,-16.9604,-17.6837,-16.8048,-18.3154,-11.50330305,-14.2220974,-15.09085894,-20.58469057,-21.05970383,-14.82210159,-22.90347815,-25.34726858,-22.09095955,-20.0347,-17.3596,-18.3784
93,-0.314287335,-18.21470261,-19.06614304,-16.85054302,-20.943,-16.521,-16.6217,-15.76104164,-13.94827366,-13.18836212,-15.8434,-16.7681,-17.4914,-16.5759,-18.1231,-11.32830381,-14.01584148,-14.87835646,-20.3471899,-20.84094286,-14.67210054,-22.73472548,-25.09101629,-21.8722105,-19.8284,-17.1846,-18.2097
94,-0.312290907,-18.1139946,-18.92881393,-16.72236919,-20.8057,-16.4019,-16.5118,-15.63286781,-13.82009983,-13.08765411,-15.7336,-16.6491,-17.3724,-16.4569,-17.995,-11.1907959,-13.87833357,-14.71585035,-20.17219067,-20.65969706,-14.45959806,-22.54722118,-24.91600513,-21.71596289,-19.6597,-17.0659,-18.0159
95,-0.310294479,-17.94917583,-18.75486374,-16.55757427,-20.6043,-16.228,-16.347,-15.45891762,-13.62783909,-12.94116974,-15.5688,-16.4935,-17.1984,-16.2737,-17.8302,-10.97204685,-13.72208595,-14.5658493,-19.8846817,-20.47843933,-14.29084539,-22.3347187,-24.65975285,-21.4784503,-19.4284,-16.8346,-17.8347
96,-0.308298051,-17.73860455,-18.5259819,-16.31951332,-20.3296,-15.9991,-16.1364,-15.22088051,-13.37149143,-12.72144318,-15.3582,-16.292,-16.9787,-16.0357,-17.6104,-10.82829237,-13.5720849,-14.40960169,-19.70968246,-20.27218342,-14.13459778,-22.17847109,-24.51599836,-21.28469944,-19.3097,-16.7034,-17.6471
97,-0.306301653,-17.63789654,-18.40696335,-16.19133949,-20.1831,-15.8709,-16.0265,-15.10186195,-13.22498322,-12.6115799,-15.2483,-16.1822,-16.8505,-15.9075,-17.4914,-10.64078808,-13.37833405,-14.2220974,-19.44717169,-20.09718418,-13.94709349,-22.00345993,-24.23474789,-21.08470201,-19.0847,-16.4784,-17.4659
98,-0.304305226,-17.43648052,-18.18723679,-15.96245766,-19.9176,-15.6512,-15.8068,-14.86382484,-12.97779083,-12.41931915,-15.0378,-15.9808,-16.6308,-15.6695,-17.2717,-10.55328846,-13.24708462,-14.05334473,-19.25342083,-19.94093657,-13.82209063,-21.80970907,-24.06599522,-20.92844248,-18.9409,-16.3409,-17.3346
99,-0.302308798,-17.30830669,-18.04075241,-15.83428383,-19.7437,-15.5047,-15.6878,-14.7264719,-12.81299591,-12.29114532,-14.9096,-15.8526,-16.4935,-15.5047,-17.1435,-10.37203074,-13.07207346,-13.90959024,-19.06591654,-19.71592903,-13.60332966,-21.62846327,-23.83474112,-20.74093819,-18.7597,-16.2221,-17.0971
100,-0.300311983,-17.15266705,-17.86677837,-15.66033363,-19.5331,-15.3216,-15.5138,-14.52505589,-12.60242462,-12.1263504,-14.7356,-15.697,-16.3287,-15.3307,-16.9696,-10.18453836,-12.91582584,-13.73459101,-18.82841587,-19.55968142,-13.44708204,-21.47220373,-23.6284852,-20.578444,-18.5972,-16.0346,-16.9659
101,-0.298315555,-17.02449322,-17.72944927,-15.50469398,-19.3591,-15.1751,-15.3674,-14.36941624,-12.42847443,-11.99817657,-14.6075,-15.5596,-16.1822,-15.1659,-16.8139,-10.05327702,-12.75956631,-13.59083652,-18.62840652,-19.39092875,-13.27208281,-21.31595612,-23.45348597,-20.31593323,-18.3847,-15.8659,-16.7596
102,-0.296319157,-16.86885357,-17.5463438,-15.32158852,-19.1485,-15.0012,-15.2117,-14.19546604,-12.20874786,-11.84253693,-14.4427,-15.404,-16.0082,-14.9645,-16.6674,-9.872031212,-12.64082193,-13.41583729,-18.41590405,-19.18467283,-13.14707994,-21.13469839,-23.24723005,-20.20343542,-18.2159,-15.7221,-16.6034
