V;A1;A2;A3
0,326573;32,5612;30,9499;31,0872
0,324577;32,3964;30,8125;30,9407
0,32258;32,2225;30,6569;30,7942
0,320584;32,0394;30,5104;30,6477
0,318587;31,8563;30,3548;30,4921
0,316591;31,6732;30,19;30,3365
0,314594;31,4809;30,0435;30,1808
0,312598;31,2703;29,8695;30,0069
0,310602;31,0689;29,6956;29,8421
0,308605;30,8583;29,5216;29,6681
0,306609;30,6386;29,3385;29,4942
0,304612;30,4189;29,1646;29,3111
0,302616;30,1808;28,9723;29,1279
0,300619;29,9428;28,7709;28,9265
0,298623;29,6956;28,5695;28,7343
0,296626;29,4301;28,3589;28,5237
0,29463;29,1829;28,1575;28,3131
0,292634;28,8991;27,9377;28,0934
0,290637;28,6152;27,7089;27,8645
0,288641;28,3223;27,4708;27,6356
0,286644;28,011;27,2236;27,3976
0,284648;27,7089;26,9764;27,1504
0,282651;27,3793;26,7201;26,894
0,280655;27,0314;26,4454;26,6194
0,278658;26,6743;26,1616;26,3447
0,276662;26,3081;25,8686;26,0609
0,274665;25,9327;25,5756;25,7679
0,272669;25,5299;25,2552;25,4475
0,270673;25,1179;24,9256;25,127
0,268676;24,6784;24,5869;24,7791
0,26668;24,2481;24,2481;24,4404
0,264683;23,772;23,8727;24,0742
0,262687;23,2868;23,4974;23,6896
0,26069;22,7924;23,1037;23,2959
0,258694;22,2522;22,6825;22,8748
0,256697;21,7029;22,2522;22,4445
0,254701;21,1444;21,8128;22,005
0,252705;20,5402;21,3458;21,5381
0,250708;19,9542;20,8789;21,062
0,248712;19,2767;20,3479;20,531
0,246715;18,6175;19,826;20,0183
0,244719;17,9217;19,2767;19,469
0,242722;17,1984;18,7091;18,8922
0,240726;16,4569;18,114;18,2971
0,238729;15,6603;17,4914;17,6654
0,236733;14,8638;16,8597;17,0245
0,234736;14,0307;16,2005;16,3653
0,23274;13,1334;15,4955;15,642
0,230744;12,2454;14,7906;14,9371
0,228747;11,3024;14,0307;14,1772
0,226751;10,341;13,2525;13,3898
0,224754;9,33394;12,4468;12,5658
0,222758;8,29023;11,6045;11,7235
0,220761;7,21904;10,7439;10,8354
0,218765;6,12039;9,8558;9,94736
0,216768;4,95766;8,92195;8,98604
0,214772;3,50698;7,96063;8,01556
0,212776;2,32685;6,96269;7,00847
0,210779;1,09819;5,93729;5,96475
0,208783;-0,189975;4,61662;4,8661
0,206786;-1,50744;3,56924;3,49508
0,20479;-2,89723;2,43763;2,36988
0,202793;-4,27787;1,29961;1,22087
0,200797;-5,75647;0,0737011;-0,0270085
0,1988;-7,23598;-1,15679;-1,27672
0,196804;-8,73106;-2,41108;-2,55207
0,194807;-10,3177;-3,74228;-3,9089
0,192811;-11,9181;-5,10002;-5,28862
0,190815;-13,5569;-6,48707;-6,70222
0,188818;-15,2314;-7,91165;-8,16159
0,186822;-16,883;-9,31334;-9,60266
0,184825;-18,6839;-10,8588;-11,1719
0,182829;-20,4482;-12,3804;-12,7311
0,180832;-22,2646;-13,9551;-14,3497
0,178836;-24,1076;-15,5418;-15,973
0,176839;-25,9405;-17,1312;-17,6081
0,174843;-27,8824;-18,8267;-19,3504
0,172847;-29,778;-20,5333;-21,0945
0,17085;-31,6823;-22,2509;-22,8597
0,168854;-33,6965;-24,027;-24,6889
0,166857;-35,6741;-25,7821;-26,4944
0,164861;-37,7523;-27,6168;-28,3314
0,162864;-39,8215;-29,4118;-30,1717
0,160868;-41,9638;-31,2795;-32,1309
0,158871;-44,097;-33,1746;-34,0719
0,156875;-46,2028;-35,0698;-36,0128
0,154878;-48,3726;-37,0108;-38,0087
0,152882;-50,5974;-39,0249;-40,0778
0,150886;-52,8222;-41,0483;-42,1469
0,148889;-55,0469;-43,0716;-44,2161
0,146893;-57,2534;-45,0767;-46,2852
0,144896;-59,5422;-47,1733;-48,4184
0,1429;-61,8219;-49,2424;-50,5516
0,140903;-64,1474;-51,3939;-52,7581
0,138907;-66,3996;-53,4722;-54,8913
0,13691;-68,6976;-55,6054;-57,0886
0,134914;-71,014;-57,7661;-59,3042
0,132918;-73,3211;-59,9176;-61,5015
0,130921;-75,6832;-62,1241;-63,7629
0,128925;-78,0179;-64,303;-65,9968
0,126928;-80,3433;-66,482;-68,2307
0,124932;-82,678;-68,6885;-70,5104
0,122935;-84,9302;-70,8309;-72,7077
0,120939;-87,3472;-73,1289;-75,0698
0,118942;-89,6452;-75,3262;-77,322
0,116946;-91,9341;-77,5235;-79,5651
0,114949;-94,2412;-79,7391;-81,8265
0,112953;-96,5118;-81,9272;-84,0696
0,110957;-98,8006;-84,1611;-86,3584
0,10896;-101,062;-86,3493;-88,6015
0,106964;-103,259;-88,4916;-90,7988
0,104967;-105,53;-90,7073;-93,0694
0,102971;-107,709;-92,8496;-95,2575
0,100974;-109,888;-95,0195;-97,4823
0,0989779;-112,03;-97,1344;-99,6429
0,0969814;-114,145;-99,2493;-101,804
0,094985;-116,242;-101,355;-103,955
0,0929885;-118,302;-103,424;-106,07
0,0909921;-120,298;-105,457;-108,139
0,0889956;-122,312;-107,498;-110,217
0,0869992;-124,253;-109,512;-112,268
0,0850027;-126,166;-111,49;-114,264
0,0830063;-128,034;-113,431;-116,242
0,0810098;-129,847;-115,344;-118,183
0,0790134;-131,604;-117,194;-120,06
0,0770169;-133,353;-119,062;-121,946
0,0750205;-134,983;-120,829;-123,722
0,073024;-136,612;-122,596;-125,507
0,0710276;-138,151;-124,298;-127,228
0,0690311;-139,606;-125,928;-128,867
0,0670347;-141,035;-127,558;-130,506
0,0650382;-142,417;-129,123;-132,071
0,0630418;-143,699;-130,634;-133,582
0,0610453;-144,916;-132,09;-135,029
0,0590488;-145,997;-133,417;-136,347
0,0570524;-147,105;-134,8;-137,711
0,0550559;-148,084;-136,054;-138,956
0,0530595;-148,991;-137,253;-140,137
0,051063;-149,815;-138,389;-141,254
0,0490666;-150,529;-139,414;-142,243
0,0470701;-151,206;-140,439;-143,241
0,0450737;-151,774;-141,355;-144,12
0,0430772;-152,25;-142,188;-144,916
0,0410808;-152,653;-142,976;-145,658
0,0390843;-152,918;-143,616;-146,244
0,0370879;-153,138;-144,23;-146,821
0,0350914;-153,248;-144,752;-147,269
0,033095;-153,285;-145,2;-147,663
0,0310985;-153,22;-145,548;-147,938
0,0291021;-153,037;-145,786;-148,103
0,0271056;-152,79;-145,96;-148,203
0,0251092;-152,479;-146,07;-148,24
0,0231127;-152,076;-146,098;-148,194
0,0211163;-151,572;-146,006;-148,02
0,0191198;-150,959;-145,814;-147,736
0,0171234;-150,318;-145,585;-147,425
0,0151269;-149,595;-145,246;-147,013
0,0131305;-148,817;-144,871;-146,537
0,011134;-147,938;-144,358;-145,942
0,0091376;-147,031;-143,799;-145,283
0,00714115;-146,043;-143,149;-144,55
0,0051447;-144,999;-142,408;-143,717
0,00314825;-143,955;-141,639;-142,838
0,0011518;-142,82;-140,751;-141,859
-0,000844653;-141,657;-139,872;-140,916
-0,0028411;-140,476;-139,057;-140,027
-0,00483755;-139,24;-138,087;-138,993
-0,006834;-138,077;-137,18;-138,032
-0,00883045;-136,869;-136,182;-136,96
-0,0108269;-135,624;-135,129;-135,807
-0,0128234;-134,379;-134,031;-134,635
-0,0148198;-133,106;-132,895;-133,436
-0,0168163;-131,87;-131,76;-132,236
-0,0188127;-130,607;-130,579;-131,009
-0,0208092;-129,325;-129,371;-129,746
-0,0228056;-128,089;-128,208;-128,537
-0,0248021;-126,825;-126,99;-127,283
-0,0267985;-125,589;-125,8;-126,047
-0,028795;-124,353;-124,591;-124,802
-0,0307914;-123,136;-123,401;-123,584
-0,0327879;-121,936;-122,211;-122,367
-0,0347843;-120,746;-121,03;-121,158
-0,0367808;-119,565;-119,84;-119,95
-0,0387772;-118,421;-118,686;-118,769
-0,0407737;-117,295;-117,542;-117,606
-0,0427701;-116,168;-116,407;-116,452
-0,0447666;-115,07;-115,28;-115,317
-0,046763;-113,999;-114,182;-114,2
-0,0487595;-112,937;-113,092;-113,092
-0,0507559;-111,902;-112,021;-112,021
-0,0527524;-110,877;-110,959;-110,95
-0,0547488;-109,879;-109,934;-109,924
-0,0567453;-108,89;-108,908;-108,89
-0,0587417;-107,929;-107,901;-107,883
-0,0607382;-106,986;-106,921;-106,903
-0,0627346;-106,061;-105,96;-105,942
-0,0647311;-105,154;-105,017;-104,99
-0,0667275;-104,266;-104,092;-104,065
-0,068724;-103,369;-103,159;-103,14
-0,0707204;-102,536;-102,28;-102,261
-0,0727169;-101,685;-101,401;-101,392
-0,0747133;-100,87;-100,549;-100,522
-0,0767098;-100,055;-99,6979;-99,6796
-0,0787062;-99,2584;-98,8647;-98,8464
-0,0807027;-98,4894;-98,0682;-98,0499
-0,0826991;-97,7295;-97,2717;-97,2534
-0,0846956;-96,9696;-96,4843;-96,4752
