,charge,anodic_d_peak,cathodic_d_peak,anodic_peak,cathodic_peak,delta_anodic_cathodic_V,delta_ano_cat_A,concentration(ng_L)
0,350.06040963325404,622.1738408068522,-375.1749141994296,82.78919,-121.886,0.1836729,204.67519,600.0
1,316.9956223320487,635.1953635105128,-268.48058023862905,84.18736,-114.475,0.1996452,198.66235999999998,1000.0
2,375.52047415985,611.6341967632943,-417.74776850562193,82.22851,-122.168,0.17768399999999998,204.39651,1200.0
3,116.02993937165638,666.1731115062976,-397.2149869765599,90.86034,-128.999,0.2156169,219.85933999999997,2000.0
4,301.4674233672554,638.4443887775578,-413.24402967883725,87.18122,-129.212,0.1936555,216.39321999999999,2500.0
5,328.47210716445943,692.4918773765567,-529.4530154277745,100.9126,-144.543,0.22959149999999998,245.4556,4000.0
6,245.69118369867556,709.4063126252513,-555.9873290053656,103.6226,-153.795,0.22759496,257.4176,5000.0
7,129.085015195074,772.5810554871023,-635.8789739862987,112.3159,-159.366,0.23757769999999998,271.68190000000004,10000.0
8,239.72797312048442,794.5157123533099,-780.6361184546331,118.7837,-169.49,0.2415708,288.2737,20000.0
