,Potencial (V),Paciente A (1),Paciente A (2),Paciente A (3),Paciente B (1),Paciente B (2),Paciente B (3),Paciente C (1),Paciente C (2),Paciente C (3),Paciente D (1),Paciente D (2),Paciente E (1),Paciente E(2),Paciente E (3),Paciente F (1),Paciente F (2),Paciente F (3),Paciente G (1),Paciente G (2),Paciente G (3),Paciente H (1),Paciente H (2),Paciente H (3),Paciente I (1),Paciente I (2),Paciente I (3)
634,0.765792072,365.91066304046745,352.8919495306799,413.21250371598705,238.51855511202112,372.9859809721259,422.29680544427544,323.2444170355234,248.27195482801304,370.8519666006193,380.4992464698782,385.53639370851977,323.21448186548184,315.9259678679897,320.28741746759584,439.7425541170825,370.2839912147138,369.1699983816981,310.3068715302475,290.852683803342,311.61812132946534,328.61881585996656,290.7160977238074,322.92782520436276,370.7571923286318,418.58420709471017,426.6455954912604
635,0.767788529,368.86606479888445,355.743113215613,416.7524694527954,242.5320466840609,374.8463254117687,423.8065362046603,325.67370142963574,248.20424251218583,373.3637072959062,386.2513951203304,391.4911060823962,327.8171104476982,320.81387987286183,323.97589852020906,445.41495231585367,381.61060618165465,375.7753255659271,315.2482514295371,292.0204046254766,313.83302056063684,332.7591590648768,295.2440697931632,332.07256216544437,374.7559607799582,415.1267603676593,427.2893795035798
636,0.769784927,371.73500396054,358.4308495698055,419.9908677529142,248.11311166283554,376.9380143838211,425.082782639897,328.01010488915773,249.96875813714624,375.64266232003155,391.7253273052873,397.37512333551024,332.56204282990535,325.9670830965801,327.56813556140133,449.8477432883543,402.07169225082623,383.0007448162603,318.6418352722533,292.70288666979246,316.46815529632187,336.77456142474045,299.1316102236258,339.16721842438307,378.2766302389842,409.9867464720303,427.2189809776761
637,0.771781385,374.6347474202728,361.0690624254567,423.10206098122814,254.40277603139052,379.3162780854558,426.29512329413234,330.32404847688093,254.3909490392356,377.8351693073594,396.9918961331695,403.3234474582737,337.3998283777792,331.04048142470344,331.1584636125464,452.36567840851643,427.06821091692314,390.50409925347884,320.0188771434949,293.1735454581762,319.5511555716041,340.3913989778367,302.64219517979876,343.137939300159,380.89148164560777,404.3960868956079,425.85232826549486
638,0.7737782,377.5582544720335,363.6702979186821,426.1739951349314,260.19802543520717,381.809812383019,427.56453250708984,332.6127571952489,261.58687034001247,379.96510307778743,402.0816671202457,409.3610039353521,342.2171425524083,335.5098555732894,334.75461671540376,453.0933132471872,450.65243461813884,397.7971257466178,319.3449140430843,293.7048989542948,322.9024995838972,343.46876099472837,306.12716415334233,343.96105271825814,382.26193289323976,400.29517329778844,422.52225643510457
639,0.775774598,380.3592694792391,366.13252716762577,429.1684346878501,264.3479942275936,384.07093428736636,428.91378702470803,334.77658341328583,270.7716129330201,381.9212931818569,406.9575249223018,415.38647040856966,346.86578052838746,338.867340379567,338.26357389874477,453.1597019064972,467.50582544527003,404.4593476088693,317.02271744419227,294.46267204408156,326.141165905838,345.9591992978224,309.7745294386727,342.6535471193053,382.3033769583946,399.5120797708713,416.72674128623646
640,0.777770996,382.8019182613675,368.27934427423037,431.94118247948455,266.17518616183605,385.7005221203399,430.2603867740328,336.64415590990626,280.3447163934552,383.5083038327575,411.5209066450048,421.20196642001264,351.2063826289695,340.85359308013676,341.523120406508,454.2606754764015,474.68320110980216,410.3586780676995,313.79851005464906,295.44509803020964,328.77874113600467,347.8464142509908,313.46793762075566,340.84373867288303,381.28632048780173,402.7151717793202,408.5404969314198
641,0.779767454,384.66317422438533,369.9417958742305,434.3205458995052,265.77131778703915,386.40980843245694,431.4565955889807,338.04874733456666,288.28020340741864,384.5446223411291,415.6593919144623,426.5884070081529,355.16286496686797,341.6216513729767,344.3730679218953,457.7348149480281,472.46110910442144,415.74942285017613,310.5752328280804,296.4880553125871,330.37384321259697,349.09936338214357,316.8212562430333,340.1206326372129,379.8018792422852,408.7519773445632,399.0303487997922
642,0.781763852,385.84261394687724,371.04429557822687,436.20255101351347,264.03291515000905,386.15127691891615,432.3318820285491,338.92046535704077,292.7258924439187,384.9627338194476,419.31504327818675,431.399509908947,358.76646858195846,341.7460905968977,346.73513987719923,463.71340294424675,463.98804182668385,421.1624810751048,308.15995538938097,297.3259765800427,330.69374118495637,349.66019809365815,319.3419359819073,341.45162134992495,378.58270905256995,414.9022908315015,390.36035420108203
643,0.78376025,386.42020652132254,371.648680959254,437.6045544985039,262.38646436008696,385.15117042108903,432.6763997853209,339.3380292198964,292.60823980504114,384.85698300245656,422.5308807982367,435.6280076417597,362.15916881930127,342.0502715346874,348.6585009527961,470.9476353593359,453.93149739837975,427.1099483319844,307.0127710500093,297.6859050799747,329.81811388115864,349.4485225977685,320.5921132578345,344.90071070257136,378.2423861893136,418.09952677958995,385.30521363727235
644,0.785756707,386.6258732313383,371.93082065055194,438.6449330324169,262.28766419968247,383.8196464784147,432.16154451072083,339.5027221061084,288.0143871477777,384.4504736337799,425.44118779188483,439.4073646797351,365.54266693897324,343.30453801064,350.3031320539493,477.49597028439865,446.7048902592538,433.74004449217125,307.0950688236718,297.39002230289475,328.1345787639415,348.3463069281802,320.2383829608037,349.7071511705991,379.03908512126577,416.5621271433591,386.17758303348506
645,0.787753105,386.73399102579856,372.1033155410717,439.468209652166,264.6942642658615,382.5795688151989,430.2877578028471,339.64616040609013,280.2041682707812,383.9971660839997,428.2087350867706,442.94873365218075,369.0938065734325,345.91654057720564,351.8677355062093,481.86454965181133,444.9601999018451,440.6248140149707,307.89896629414176,296.43673137466965,326.2210630959403,346.1583303412111,318.01047469123233,354.60348511924866,380.76532279757714,410.921509217788,393.5691777410765
646,0.789749563,386.9392065144125,372.3283064660826,440.17008384083186,269.7315973144672,381.6979010881434,426.4802517705995,339.9261214095469,271.24735009384534,383.66943365571467,430.94861073044274,446.44889248210495,372.89139710132116,349.75338888301843,353.4981086048531,483.8961608248528,448.84894567668425,446.80331370288656,308.66682866601616,295.02500854102226,324.66252541424893,342.61386505686465,313.70961637940474,358.1810768083602,382.81548728803875,404.11694942871856,405.54748756377586
