,min,max,mean,range,med,fQ,sQ,sd,dc,rms,freq_min,freq_max,freq_mean,freq_range,freq_med,freq_fQ,freq_sQ,freq_sd,label
0,11.529513009624972,87108.41762612374,313.53233170809426,86794.88529441565,18.243009384870284,11.529513009625047,11.529513009625274,3450.7754615979775,29073.790663973992,471239.09455726563,-25.028066727308104,25.028066727308104,-6.927813833801189e-16,25.028066727308104,0.0,-25.01974622640142,-24.994784723681367,14.459578341949184,1.0
1,10.096692232995153,87915.91235235108,310.8514025802603,87605.06094977082,16.286077355078945,10.096692232995643,10.096692232997118,3469.108288196218,27697.628495382996,467209.6580781311,-25.028066727308104,25.028066727308104,-6.927813833801189e-16,25.028066727308104,0.0,-25.01974622640142,-24.994784723681367,14.459578341949184,1.0
2,11.666404523722335,92454.95679561631,342.54944355720346,92112.4073520591,18.10453336355299,11.666404523722932,11.666404523724719,3692.7259349442966,31819.989120502996,514851.81366647594,-25.028066727308104,25.028066727308104,-6.927813833801189e-16,25.028066727308104,0.0,-25.01974622640142,-24.994784723681367,14.459578341949184,1.0
3,10.259371048568173,93626.63425207992,323.96846988463136,93302.6657821953,19.282759217593224,10.259371048568578,10.259371048569797,3646.3157121425847,24815.991655999995,486924.61023660115,-25.028066727308104,25.028066727308104,-6.927813833801189e-16,25.028066727308104,0.0,-25.01974622640142,-24.994784723681367,14.459578341949184,1.0
4,12.943355901624148,89486.14770227522,326.5605012919953,89159.58720098322,20.107811392766898,12.943355901625,12.94335590162756,3548.22685715483,30442.156088999993,490820.4334418685,-25.028066727308104,25.028066727308104,-6.927813833801189e-16,25.028066727308104,0.0,-25.01974622640142,-24.994784723681367,14.459578341949184,1.0
5,11.451054220888038,88371.19131028306,327.1983020986416,88043.99300818442,19.114285333229,11.451054220888183,11.451054220888622,3530.029185404701,31924.446272999998,491779.04805425915,-25.028066727308104,25.028066727308104,-6.927813833801189e-16,25.028066727308104,0.0,-25.01974622640142,-24.994784723681367,14.459578341949184,1.0
6,12.098295924196675,86587.43405577427,315.9456255721625,86271.48843020211,20.5398490068568,12.098295924196897,12.09829592419756,3425.771340053872,29045.769092861996,474866.27523496066,-25.028066727308104,25.028066727308104,-6.927813833801189e-16,25.028066727308104,0.0,-25.01974622640142,-24.994784723681367,14.459578341949184,1.0
7,14.944729293907534,85309.1905211605,306.2685313482698,85002.92198981224,23.461538017787017,14.944729293907669,14.944729293908074,3347.255852094084,27616.780937258995,460321.6026164497,-25.028066727308104,25.028066727308104,-6.927813833801189e-16,25.028066727308104,0.0,-25.01974622640142,-24.994784723681367,14.459578341949184,1.0
8,13.361231272867624,84697.42651088367,321.327814080479,84376.0986968032,21.10259857333733,13.361231272867691,13.361231272867894,3387.747104844112,30973.097493180998,482955.7045629594,-25.028066727308104,25.028066727308104,-6.927813833801189e-16,25.028066727308104,0.0,-25.01974622640142,-24.994784723681367,14.459578341949184,1.0
9,10.61285337812992,86743.74485924089,320.13613579847123,86423.60872344242,18.404289898423315,10.612853378130183,10.61285337813097,3463.926872025562,29604.572418999996,481164.61210510216,-25.028066727308104,25.028066727308104,-6.927813833801189e-16,25.028066727308104,0.0,-25.01974622640142,-24.994784723681367,14.459578341949184,1.0
10,12.035699650228482,87559.8244095933,323.8620263779488,87235.96238321536,18.964001992144656,12.035699650228544,12.035699650228734,3495.0970197469596,29043.769691999994,486764.625646057,-25.028066727308104,25.028066727308104,-6.927813833801189e-16,25.028066727308104,0.0,-25.01974622640142,-24.994784723681367,14.459578341949184,1.0
11,13.150634475361885,93023.18322501573,336.5847830129313,92686.5984420028,20.582259475828064,13.150634475362226,13.150634475363251,3696.5783218916736,31821.729942999995,505886.92886843614,-25.028066727308104,25.028066727308104,-6.927813833801189e-16,25.028066727308104,0.0,-25.01974622640142,-24.994784723681367,14.459578341949184,1.0
12,13.749995799375306,96159.51865968067,345.5876502044365,95813.93100947623,21.4456230876692,13.749995799375398,13.749995799375677,3821.211079356304,34527.24056399999,519418.23825726856,-25.028066727308104,25.028066727308104,-6.927813833801189e-16,25.028066727308104,0.0,-25.01974622640142,-24.994784723681367,14.459578341949184,1.0
13,13.771054306781314,95689.06383244821,343.67617896466214,95345.38765348356,21.018313588012557,13.771054306781574,13.771054306782354,3798.820290006137,33166.31140499999,516545.2969838885,-25.028066727308104,25.028066727308104,-6.927813833801189e-16,25.028066727308104,0.0,-25.01974622640142,-24.994784723681367,14.459578341949184,1.0
14,5.076994575498479,86094.90115819726,320.4425177967769,85774.45864040048,15.818741347465528,5.076994575498895,5.076994575500141,3500.26340158854,34662.411082340994,481625.1042485554,-25.028066727308104,25.028066727308104,-6.927813833801189e-16,25.028066727308104,0.0,-25.01974622640142,-24.994784723681367,14.459578341949184,1.0
15,7.015087345496284,81791.39993933337,302.5095691377509,81488.89037019562,16.043366537809735,7.015087345497267,7.015087345500213,3299.1698343441226,30443.50547195199,454671.88241404,-25.028066727308104,25.028066727308104,-6.927813833801189e-16,25.028066727308104,0.0,-25.01974622640142,-24.994784723681367,14.459578341949184,1.0
16,8.728911105969146,83493.64301016986,308.3096504324925,83185.33335973737,18.48453466867355,8.728911105969171,8.728911105969246,3353.3070515338363,30244.461166030997,463389.40460003697,-25.028066727308104,25.028066727308104,-6.927813833801189e-16,25.028066727308104,0.0,-25.01974622640142,-24.994784723681367,14.459578341949184,1.0
