V;B5 13071;C2 13071;D6 13071;E3 13071
0,156721;67,1138;76,5347;77,7798;78,3749
0,158718;70,2632;79,8764;81,0941;81,7807
0,160714;73,5409;83,3829;84,5182;85,3513
0,162711;76,9924;87,0268;88,098;89,1051
0,164707;80,444;90,7073;91,696;92,8496
0,166704;83,8407;94,2779;95,2117;96,5118
0,1687;87,2465;97,8851;98,7549;100,201
0,170696;90,7622;101,575;102,362;103,992
0,172693;94,3786;105,383;106,079;107,883
0,174689;97,9675;109,137;109,741;111,719
0,176686;101,63;112,973;113,513;115,637
0,178682;105,1;116,617;117,029;119,364
0,180679;108,826;120,499;120,829;123,328
0,182675;112,479;124,262;124,5;127,219
0,184672;116,187;128,125;128,263;131,165
0,186668;120,005;132,062;132,108;135,203
0,188665;123,639;135,807;135,752;139,02
0,190661;127,366;139,652;139,469;142,948
0,192657;131,11;143,507;143,214;146,876
0,194654;134,855;147,333;146,94;150,794
0,19665;138,801;151,362;150,831;154,905
0,198647;142,344;154,942;154,31;158,576
0,200643;146,098;158,75;157,99;162,467
0,20264;149,879;162,559;161,671;166,349
0,204636;153,623;166,331;165,306;170,231
0,206633;157,414;170,103;168,949;174,067
0,208629;160,993;173,683;172,419;177,748
0,210625;164,683;177,299;175,908;181,437
0,212622;168,4;180,961;179,432;185,182
0,214618;171,952;184,431;182,811;188,716
0,216615;175,569;187,919;186,18;192,305
0,218611;179,066;191,289;189,412;195,738
0,220608;182,609;194,649;192,662;199,171
0,222604;186,033;197,881;195,775;202,477
0,224601;189,448;201,057;198,833;205,699
0,226597;192,799;204,161;201,817;208,885
0,228594;196,141;207,237;204,729;211,989
0,23059;199,281;210,057;207,448;214,855
0,232586;202,394;212,767;210,076;217,629
0,234583;205,461;215,459;212,648;220,339
0,236579;208,473;218,013;215,093;222,948
0,238576;211,275;220,32;217,317;225,283
0,240572;214,049;222,573;219,451;227,553
0,242569;216,649;224,55;221,382;229,586
0,244565;219,277;226,509;223,232;231,545
0,246562;221,566;228,084;224,733;233,111
0,248558;223,809;229,512;226,088;234,539
0,250554;225,96;230,84;227,333;235,811
0,252551;227,846;231,765;228,185;236,745
0,254547;229,595;232,506;228,872;237,404
0,256544;231,06;232,854;229,165;237,725
0,25854;232,351;232,973;229,22;237,752
0,260537;233,687;232,992;229,21;237,725
0,262533;234,356;232,25;228,45;236,901
0,26453;234,997;231,389;227,562;235,94
0,266526;235,29;230,034;226,207;234,447
0,268523;235,326;228,304;224,468;232,616
0,270519;235,079;226,226;222,371;230,382
0,272515;234,383;223,525;219,661;227,517
0,274512;233,376;220,412;216,558;224,239
0,276508;231,948;216,796;212,95;220,403
0,278505;229,979;212,493;208,702;215,898
0,280501;227,8;207,942;204,143;211,11
0,282498;224,99;202,687;198,933;205,644
0,284494;221,703;197,047;193,312;199,748
0,286491;217,784;190,822;187,105;193,294
0,288487;213,381;184,285;180,623;186,509
0,290483;208,51;177,528;173,875;179,533
0,29248;203,117;170,616;167,018;172,392
0,294476;197,093;163,52;159,95;165,086
0,296473;190,52;156,425;152,937;157,816
0,298469;183,671;149,686;146,271;150,922
0,300466;176,576;143,323;139,991;144,422
0,302462;169,233;137,29;134,049;138,27
0,304459;161,955;131,769;128,647;133,161
0,306455;154,603;126,569;123,557;128,748
0,308452;147,736;122,065;119,199;125,452
0,310448;141,08;117,862;115,106;122,751
0,312444;135,001;114,191;111,527;120,252
0,314441;129,462;110,886;108,35;117,423
0,316437;124,262;107,727;105,301;114,191
0,318434;119,684;104,953;102,637;111,334
0,32043;115,637;102,454;100,247;108,341
0,322427;111,948;100,101;97,995;104,999
0,324423;108,78;98,0682;96,0266;101,968
0,32642;105,64;95,8892;93,9208;98,9837
0,328416;102,966;94,0581;92,163;96,5118
0,330412;100,513;92,3369;90,515;94,2596
0,332409;98,2513;90,7164;88,9403;92,2087
0,334405;96,1456;89,1875;87,4937;90,3502
0,336402;94,1314;87,6677;86,0014;88,5557
0,338398;92,3278;86,2852;84,6921;86,9718
0,340395;90,6706;85,0492;83,5019;85,5344
0,342391;89,0043;83,7491;82,2477;84,097
0,344388;87,5486;82,623;81,1582;82,8519
0,346384;86,0655;81,4603;80,0412;81,6434
0,348381;84,7562;80,3983;79,0158;80,5264
0,350377;83,4287;79,3454;77,9995;79,4186
0,352373;82,2385;78,3841;77,0657;78,4115
0,35437;81,0758;77,4777;76,1776;77,4411
0,356366;80,0046;76,5713;75,3262;76,5347
0,358363;78,8968;75,6832;74,4564;75,5917
0,360359;77,8988;74,8592;73,6507;74,7768
0,362356;76,9467;74,081;72,9091;73,9528
0,364352;76,0403;73,3211;72,1859;73,193
0,366349;75,1339;72,5612;71,4534;72,4056
0,368345;74,3008;71,8929;70,8034;71,7098
0,370341;73,4585;71,1604;70,0984;70,9773
0,372338;72,7352;70,5745;69,5033;70,3639
0,374334;71,9112;69,8695;68,835;69,6406
0,376331;71,2062;69,2653;68,2673;69,0181
0,378327;70,5379;68,716;67,7455;68,4596
0,380324;69,8329;68,13;67,1595;67,8553
0,38232;69,2103;67,5715;66,6194;67,2969
0,384317;68,5512;67,0314;66,0975;66,7292
0,386313;67,9469;66,5095;65,5848;66,1891
0,38831;67,4525;66,0792;65,1728;65,7496
0,390306;66,7659;65,5024;64,6235;65,1545
0,392302;66,2715;65,0904;64,2115;64,715
0,394299;65,7313;64,6143;63,7629;64,2481
0,396295;65,2186;64,1566;63,3143;63,772
0,398292;64,7608;63,7903;62,9297;63,3692
0,400288;64,239;63,3234;62,4811;62,9114
0,402285;63,7812;62,9206;62,0966;62,5269
0,404281;63,3326;62,5269;61,7395;62,0874
0,406278;62,8565;62,1149;61,3275;61,6297
0,408274;62,4811;61,8036;61,0346;61,2909
0,41027;62,0417;61,4191;60,6592;60,8789
0,412267;61,6571;61,0895;60,3296;60,531
0,414263;61,2085;60,6867;59,9359;60,1099
0,41626;60,8423;60,3845;59,6155;59,8077
0,418256;60,5219;60,0824;59,35;59,5148
0,420253;60,1556;59,7803;59,0387;59,2035
0,422249;59,7711;59,4507;58,7091;58,8556
0,424246;59,4141;59,1302;58,4344;58,5077
0,426242;59,1028;58,8373;58,1415;58,2422
0,428239;58,7915;58,5901;57,8943;57,9767
0,430235;58,5168;58,3062;57,6104;57,6562
0,432231;58,2605;58,0591;57,3632;57,3999
0,434228;57,8851;57,7111;57,0336;57,0703
0,436224;57,6471;57,528;56,8322;56,8597
0,438221;57,3358;57,2534;56,5667;56,5667
0,440217;57,0703;57,0153;56,347;56,3287
0,442214;56,8414;56,8048;56,1456;56,1273
0,44421;56,5301;56,5209;55,8709;55,8251
0,446207;56,3012;56,3195;55,6603;55,6237
0,448203;56,0632;56,1181;55,4589;55,404
0,450199;55,8251;55,8892;55,2392;55,1843
0,452196;55,6512;55,7427;55,111;55,0286
0,454192;55,3124;55,4314;54,7906;54,7082
0,456189;55,1385;55,285;54,6349;54,5617
0,458185;54,9371;55,1202;54,4793;54,3694
0,460182;54,7265;54,9462;54,3053;54,1772
0,462178;54,5525;54,7906;54,1222;54,0124
0,464175;54,2962;54,5708;53,9117;53,8018
0,466171;54,1222;54,4244;53,7743;53,6278
0,468168;53,9666;54,2962;53,637;53,4905
0,470164;53,756;54,1039;53,4447;53,2799
0,47216;53,6278;53,994;53,3257;53,1884
0,474157;53,4173;53,8109;53,1426;52,987
0,476153;53,2708;53,6736;52,9961;52,8588
0,47815;53,0877;53,5363;52,8588;52,7031
0,480146;52,9412;53,4173;52,7306;52,5841
0,482143;52,8038;53,2891;52,6299;52,4559
0,484139;52,6665;53,1701;52,5017;52,3278
0,486136;52,4743;53,0236;52,3552;52,1721
0,488132;52,3369;52,9046;52,2728;52,0531
0,490128;52,2271;52,8313;52,1996;51,9615
0,492125;52,0989;52,7123;52,0714;51,8608
0,494121;51,9432;52,5841;51,9432;51,7418
0,496118;51,87;52,52;51,87;51,6503
0,498114;51,7052;52,401;51,7601;51,5404
0,500111;51,6594;52,3644;51,7235;51,4855
0,502107;51,4855;52,2087;51,5587;51,3481
0,504104;51,4031;52,1447;51,5312;51,2932
0,5061;51,3207;52,1172;51,5038;51,2566
0,508097;51,2108;52,0073;51,3939;51,1467
0,510093;51,1376;51,9524;51,3298;51,0918
0,512089;51,0277;51,87;51,2566;51,046
0,514086;50,9453;51,7967;51,1925;50,9545
0,516082;50,9545;51,8608;51,2383;51,0002
0,518079;50,7805;51,6869;51,0552;50,8263
0,520075;50,753;51,6869;51,0735;50,8537
0,522072;50,6889;51,6411;51,0552;50,7897
0,524068;50,634;51,6045;51,0002;50,7622
0,526065;50,634;51,632;50,9911;50,7622
0,528061;50,5699;51,5496;50,9545;50,7073
0,530058;50,5516;51,5587;50,9453;50,7073
0,532054;50,5333;51,5496;50,927;50,6798
0,53405;50,4784;51,5518;50,927;50,7004
0,536047;50,515;51,5587;50,9178;50,7164
0,538043;50,4417;51,5404;50,9178;50,6981
0,54004;50,4692;51,5953;50,9453;50,7164
0,542036;50,4234;51,5404;50,8904;50,6706
0,544033;50,4509;51,5862;50,9361;50,7073
0,546029;50,4875;51,6594;50,9911;50,7713
0,548026;50,5425;51,751;51,0643;50,8446
0,550022;50,5333;51,7418;51,0735;50,8629
