,reg_logistic,knn,mlp,random_for,svm,deci_tree
0,0.8620689655172413,0.896551724137931,0.9655172413793104,0.8620689655172413,0.8620689655172413,0.896551724137931
1,0.896551724137931,0.896551724137931,1.0,0.896551724137931,0.896551724137931,1.0
2,0.896551724137931,0.9310344827586207,1.0,0.896551724137931,0.896551724137931,1.0
3,0.896551724137931,0.9310344827586207,1.0,0.896551724137931,0.896551724137931,0.9310344827586207
4,0.896551724137931,0.896551724137931,1.0,0.8620689655172413,0.8620689655172413,1.0
5,0.896551724137931,0.9310344827586207,1.0,0.896551724137931,0.896551724137931,1.0
6,0.896551724137931,0.9310344827586207,1.0,0.896551724137931,0.896551724137931,1.0
7,0.896551724137931,0.9310344827586207,1.0,0.896551724137931,0.896551724137931,1.0
8,0.896551724137931,0.9310344827586207,1.0,0.896551724137931,0.896551724137931,0.9655172413793104
9,0.896551724137931,0.9310344827586207,1.0,0.896551724137931,0.896551724137931,1.0
