,reg_logistic,knn,mlp,random_for,svm,deci_tree
0,0.13793103448275867,0.10344827586206895,0.03448275862068961,0.13793103448275867,0.13793103448275867,0.10344827586206895
1,0.10344827586206895,0.10344827586206895,0.0,0.10344827586206895,0.10344827586206895,0.0
2,0.10344827586206895,0.06896551724137934,0.0,0.10344827586206895,0.10344827586206895,0.0
3,0.10344827586206895,0.06896551724137934,0.0,0.10344827586206895,0.10344827586206895,0.06896551724137934
4,0.10344827586206895,0.10344827586206895,0.0,0.13793103448275867,0.13793103448275867,0.0
5,0.10344827586206895,0.06896551724137934,0.0,0.10344827586206895,0.10344827586206895,0.0
6,0.10344827586206895,0.06896551724137934,0.0,0.10344827586206895,0.10344827586206895,0.0
7,0.10344827586206895,0.06896551724137934,0.0,0.10344827586206895,0.10344827586206895,0.0
8,0.10344827586206895,0.06896551724137934,0.0,0.10344827586206895,0.10344827586206895,0.03448275862068961
9,0.10344827586206895,0.06896551724137934,0.0,0.10344827586206895,0.10344827586206895,0.0
